Created as New Dataset, , 
nm, A, 
430.0, 0.0849, 
429.0, 0.0863, 
428.0, 0.0853, 
427.0, 0.0843, 
426.0, 0.0837, 
425.0, 0.0851, 
424.0, 0.0840, 
423.0, 0.0832, 
422.0, 0.0834, 
421.0, 0.0827, 
420.0, 0.0837, 
419.0, 0.0835, 
418.0, 0.0832, 
417.0, 0.0833, 
416.0, 0.0837, 
415.0, 0.0840, 
414.0, 0.0850, 
413.0, 0.0840, 
412.0, 0.0849, 
411.0, 0.0863, 
410.0, 0.0870, 
409.0, 0.0881, 
408.0, 0.0883, 
407.0, 0.0911, 
406.0, 0.0934, 
405.0, 0.0967, 
404.0, 0.0989, 
403.0, 0.1029, 
402.0, 0.1073, 
401.0, 0.1130, 
400.0, 0.1189, 
399.0, 0.1267, 
398.0, 0.1349, 
397.0, 0.1431, 
396.0, 0.1529, 
395.0, 0.1644, 
394.0, 0.1754, 
393.0, 0.1878, 
392.0, 0.2017, 
391.0, 0.2177, 
390.0, 0.2344, 
389.0, 0.2530, 
388.0, 0.2735, 
387.0, 0.2969, 
386.0, 0.3218, 
385.0, 0.3503, 
384.0, 0.3831, 
383.0, 0.4192, 
382.0, 0.4601, 
381.0, 0.5074, 
380.0, 0.5604, 
379.0, 0.6171, 
378.0, 0.6740, 
377.0, 0.7317, 
376.0, 0.7795, 
375.0, 0.7980, 
374.0, 0.7888, 
373.0, 0.7548, 
372.0, 0.7001, 
371.0, 0.6363, 
370.0, 0.5684, 
369.0, 0.5073, 
368.0, 0.4604, 
367.0, 0.4287, 
366.0, 0.4108, 
365.0, 0.4067, 
364.0, 0.4135, 
363.0, 0.4264, 
362.0, 0.4461, 
361.0, 0.4671, 
360.0, 0.4898, 
359.0, 0.5124, 
358.0, 0.5350, 
357.0, 0.5537, 
356.0, 0.5655, 
355.0, 0.5713, 
354.0, 0.5686, 
353.0, 0.5569, 
352.0, 0.5350, 
351.0, 0.5088, 
350.0, 0.4790, 
349.0, 0.4476, 
348.0, 0.4184, 
347.0, 0.3924, 
346.0, 0.3689, 
345.0, 0.3483, 
344.0, 0.3317, 
343.0, 0.3178, 
342.0, 0.3064, 
341.0, 0.2974, 
340.0, 0.2909, 
339.0, 0.2868, 
338.0, 0.2845, 
337.0, 0.2835, 
336.0, 0.2839, 
335.0, 0.2852, 
334.0, 0.2880, 
333.0, 0.2915, 
332.0, 0.2947, 
331.0, 0.2989, 
330.0, 0.3048, 
329.0, 0.3103, 
328.0, 0.3153, 
327.0, 0.3211, 
326.0, 0.3273, 
325.0, 0.3333, 
324.0, 0.3395, 
323.0, 0.3465, 
322.0, 0.3553, 
321.0, 0.3646, 
320.0, 0.3760, 
319.0, 0.3901, 
318.0, 0.4069, 
317.0, 0.4230, 
316.0, 0.4440, 
315.0, 0.4684, 
314.0, 0.4940, 
313.0, 0.5216, 
312.0, 0.5516, 
311.0, 0.5846, 
310.0, 0.6186, 
309.0, 0.6549, 
308.0, 0.6935, 
307.0, 0.7323, 
306.0, 0.7713, 
305.0, 0.8093, 
304.0, 0.8456, 
303.0, 0.8809, 
302.0, 0.9153, 
301.0, 0.9504, 
300.0, 0.9848, 
299.0, 1.0180, 
298.0, 1.0536, 
297.0, 1.0951, 
296.0, 1.1378, 
295.0, 1.1791, 
294.0, 1.2206, 
293.0, 1.2612, 
292.0, 1.2995, 
291.0, 1.3297, 
290.0, 1.3559, 
289.0, 1.3743, 
288.0, 1.3812, 
287.0, 1.3840, 
286.0, 1.3760, 
285.0, 1.3651, 
284.0, 1.3560, 
283.0, 1.3465, 
282.0, 1.3392, 
281.0, 1.3300, 
280.0, 1.3273, 
279.0, 1.3260, 
278.0, 1.3208, 
277.0, 1.3140, 
276.0, 1.2966, 
275.0, 1.2716, 
274.0, 1.2488, 
273.0, 1.2313, 
272.0, 1.2209, 
271.0, 1.2119, 
270.0, 1.2053, 
269.0, 1.1970, 
268.0, 1.1901, 
267.0, 1.1835, 
266.0, 1.1861, 
265.0, 1.1938, 
264.0, 1.2063, 
263.0, 1.2232, 
262.0, 1.2409, 
261.0, 1.2593, 
260.0, 1.2807, 
259.0, 1.3044, 
258.0, 1.3314, 
257.0, 1.3575, 
256.0, 1.3886, 
255.0, 1.4179, 
254.0, 1.4509, 
253.0, 1.4787, 
252.0, 1.5065, 
251.0, 1.5325, 
250.0, 1.5649 
