Created as New Dataset, , 
nm, A, 
430.0, 0.1026, 
429.0, 0.1030, 
428.0, 0.1019, 
427.0, 0.1012, 
426.0, 0.1008, 
425.0, 0.1014, 
424.0, 0.1008, 
423.0, 0.1007, 
422.0, 0.1011, 
421.0, 0.0993, 
420.0, 0.1004, 
419.0, 0.1009, 
418.0, 0.1013, 
417.0, 0.1010, 
416.0, 0.1016, 
415.0, 0.1024, 
414.0, 0.1025, 
413.0, 0.1025, 
412.0, 0.1032, 
411.0, 0.1050, 
410.0, 0.1052, 
409.0, 0.1061, 
408.0, 0.1072, 
407.0, 0.1087, 
406.0, 0.1106, 
405.0, 0.1145, 
404.0, 0.1181, 
403.0, 0.1229, 
402.0, 0.1270, 
401.0, 0.1327, 
400.0, 0.1386, 
399.0, 0.1464, 
398.0, 0.1533, 
397.0, 0.1620, 
396.0, 0.1725, 
395.0, 0.1842, 
394.0, 0.1960, 
393.0, 0.2093, 
392.0, 0.2243, 
391.0, 0.2410, 
390.0, 0.2606, 
389.0, 0.2808, 
388.0, 0.3038, 
387.0, 0.3291, 
386.0, 0.3569, 
385.0, 0.3880, 
384.0, 0.4229, 
383.0, 0.4612, 
382.0, 0.5038, 
381.0, 0.5519, 
380.0, 0.6056, 
379.0, 0.6610, 
378.0, 0.7153, 
377.0, 0.7665, 
376.0, 0.8074, 
375.0, 0.8168, 
374.0, 0.8008, 
373.0, 0.7632, 
372.0, 0.7101, 
371.0, 0.6462, 
370.0, 0.5841, 
369.0, 0.5297, 
368.0, 0.4866, 
367.0, 0.4585, 
366.0, 0.4438, 
365.0, 0.4412, 
364.0, 0.4467, 
363.0, 0.4583, 
362.0, 0.4761, 
361.0, 0.4957, 
360.0, 0.5166, 
359.0, 0.5396, 
358.0, 0.5625, 
357.0, 0.5796, 
356.0, 0.5933, 
355.0, 0.6016, 
354.0, 0.5984, 
353.0, 0.5856, 
352.0, 0.5645, 
351.0, 0.5376, 
350.0, 0.5077, 
349.0, 0.4779, 
348.0, 0.4499, 
347.0, 0.4230, 
346.0, 0.3975, 
345.0, 0.3773, 
344.0, 0.3615, 
343.0, 0.3484, 
342.0, 0.3377, 
341.0, 0.3295, 
340.0, 0.3216, 
339.0, 0.3165, 
338.0, 0.3142, 
337.0, 0.3121, 
336.0, 0.3110, 
335.0, 0.3110, 
334.0, 0.3122, 
333.0, 0.3146, 
332.0, 0.3170, 
331.0, 0.3197, 
330.0, 0.3230, 
329.0, 0.3272, 
328.0, 0.3320, 
327.0, 0.3377, 
326.0, 0.3431, 
325.0, 0.3489, 
324.0, 0.3550, 
323.0, 0.3626, 
322.0, 0.3713, 
321.0, 0.3831, 
320.0, 0.3972, 
319.0, 0.4111, 
318.0, 0.4294, 
317.0, 0.4489, 
316.0, 0.4729, 
315.0, 0.4978, 
314.0, 0.5246, 
313.0, 0.5545, 
312.0, 0.5856, 
311.0, 0.6184, 
310.0, 0.6537, 
309.0, 0.6929, 
308.0, 0.7324, 
307.0, 0.7713, 
306.0, 0.8128, 
305.0, 0.8536, 
304.0, 0.8928, 
303.0, 0.9310, 
302.0, 0.9694, 
301.0, 1.0067, 
300.0, 1.0428, 
299.0, 1.0816, 
298.0, 1.1223, 
297.0, 1.1631, 
296.0, 1.2034, 
295.0, 1.2433, 
294.0, 1.2815, 
293.0, 1.3170, 
292.0, 1.3464, 
291.0, 1.3661, 
290.0, 1.3793, 
289.0, 1.3883, 
288.0, 1.3914, 
287.0, 1.3870, 
286.0, 1.3763, 
285.0, 1.3664, 
284.0, 1.3589, 
283.0, 1.3487, 
282.0, 1.3405, 
281.0, 1.3344, 
280.0, 1.3277, 
279.0, 1.3286, 
278.0, 1.3293, 
277.0, 1.3192, 
276.0, 1.2993, 
275.0, 1.2781, 
274.0, 1.2587, 
273.0, 1.2430, 
272.0, 1.2350, 
271.0, 1.2300, 
270.0, 1.2231, 
269.0, 1.2144, 
268.0, 1.2087, 
267.0, 1.2041, 
266.0, 1.2089, 
265.0, 1.2181, 
264.0, 1.2329, 
263.0, 1.2456, 
262.0, 1.2626, 
261.0, 1.2872, 
260.0, 1.3091, 
259.0, 1.3350, 
258.0, 1.3584, 
257.0, 1.3877, 
256.0, 1.4160, 
255.0, 1.4486, 
254.0, 1.4810, 
253.0, 1.5160, 
252.0, 1.5490, 
251.0, 1.5823, 
250.0, 1.6154 
