Created as New Dataset, , 
nm, A, 
430.0, 0.0854, 
429.0, 0.0864, 
428.0, 0.0857, 
427.0, 0.0849, 
426.0, 0.0833, 
425.0, 0.0838, 
424.0, 0.0843, 
423.0, 0.0837, 
422.0, 0.0839, 
421.0, 0.0824, 
420.0, 0.0837, 
419.0, 0.0843, 
418.0, 0.0842, 
417.0, 0.0843, 
416.0, 0.0837, 
415.0, 0.0843, 
414.0, 0.0856, 
413.0, 0.0860, 
412.0, 0.0864, 
411.0, 0.0884, 
410.0, 0.0885, 
409.0, 0.0899, 
408.0, 0.0915, 
407.0, 0.0933, 
406.0, 0.0951, 
405.0, 0.0986, 
404.0, 0.1019, 
403.0, 0.1054, 
402.0, 0.1100, 
401.0, 0.1156, 
400.0, 0.1210, 
399.0, 0.1281, 
398.0, 0.1358, 
397.0, 0.1430, 
396.0, 0.1534, 
395.0, 0.1633, 
394.0, 0.1748, 
393.0, 0.1871, 
392.0, 0.2002, 
391.0, 0.2155, 
390.0, 0.2340, 
389.0, 0.2536, 
388.0, 0.2740, 
387.0, 0.2975, 
386.0, 0.3229, 
385.0, 0.3521, 
384.0, 0.3837, 
383.0, 0.4183, 
382.0, 0.4566, 
381.0, 0.4992, 
380.0, 0.5447, 
379.0, 0.5918, 
378.0, 0.6433, 
377.0, 0.6971, 
376.0, 0.7454, 
375.0, 0.7702, 
374.0, 0.7771, 
373.0, 0.7662, 
372.0, 0.7378, 
371.0, 0.6944, 
370.0, 0.6430, 
369.0, 0.5912, 
368.0, 0.5442, 
367.0, 0.5071, 
366.0, 0.4794, 
365.0, 0.4606, 
364.0, 0.4510, 
363.0, 0.4473, 
362.0, 0.4499, 
361.0, 0.4549, 
360.0, 0.4629, 
359.0, 0.4741, 
358.0, 0.4887, 
357.0, 0.5042, 
356.0, 0.5206, 
355.0, 0.5379, 
354.0, 0.5496, 
353.0, 0.5551, 
352.0, 0.5540, 
351.0, 0.5465, 
350.0, 0.5330, 
349.0, 0.5158, 
348.0, 0.4971, 
347.0, 0.4780, 
346.0, 0.4591, 
345.0, 0.4410, 
344.0, 0.4249, 
343.0, 0.4096, 
342.0, 0.3960, 
341.0, 0.3835, 
340.0, 0.3711, 
339.0, 0.3618, 
338.0, 0.3542, 
337.0, 0.3466, 
336.0, 0.3416, 
335.0, 0.3374, 
334.0, 0.3349, 
333.0, 0.3332, 
332.0, 0.3331, 
331.0, 0.3343, 
330.0, 0.3367, 
329.0, 0.3405, 
328.0, 0.3441, 
327.0, 0.3471, 
326.0, 0.3523, 
325.0, 0.3579, 
324.0, 0.3630, 
323.0, 0.3706, 
322.0, 0.3796, 
321.0, 0.3897, 
320.0, 0.4027, 
319.0, 0.4192, 
318.0, 0.4393, 
317.0, 0.4599, 
316.0, 0.4843, 
315.0, 0.5100, 
314.0, 0.5374, 
313.0, 0.5661, 
312.0, 0.5958, 
311.0, 0.6276, 
310.0, 0.6609, 
309.0, 0.6965, 
308.0, 0.7347, 
307.0, 0.7745, 
306.0, 0.8146, 
305.0, 0.8544, 
304.0, 0.8950, 
303.0, 0.9350, 
302.0, 0.9720, 
301.0, 1.0087, 
300.0, 1.0471, 
299.0, 1.0850, 
298.0, 1.1218, 
297.0, 1.1607, 
296.0, 1.2006, 
295.0, 1.2400, 
294.0, 1.2753, 
293.0, 1.3077, 
292.0, 1.3348, 
291.0, 1.3508, 
290.0, 1.3628, 
289.0, 1.3729, 
288.0, 1.3762, 
287.0, 1.3718, 
286.0, 1.3633, 
285.0, 1.3568, 
284.0, 1.3467, 
283.0, 1.3368, 
282.0, 1.3329, 
281.0, 1.3327, 
280.0, 1.3316, 
279.0, 1.3337, 
278.0, 1.3303, 
277.0, 1.3162, 
276.0, 1.3000, 
275.0, 1.2852, 
274.0, 1.2712, 
273.0, 1.2618, 
272.0, 1.2582, 
271.0, 1.2586, 
270.0, 1.2542, 
269.0, 1.2455, 
268.0, 1.2364, 
267.0, 1.2353, 
266.0, 1.2408, 
265.0, 1.2494, 
264.0, 1.2644, 
263.0, 1.2820, 
262.0, 1.2990, 
261.0, 1.3198, 
260.0, 1.3435, 
259.0, 1.3684, 
258.0, 1.3981, 
257.0, 1.4331, 
256.0, 1.4607, 
255.0, 1.4877, 
254.0, 1.5245, 
253.0, 1.5659, 
252.0, 1.5994, 
251.0, 1.6350, 
250.0, 1.6668 
