Created as New Dataset, , 
nm, A, 
430.0, 0.0954, 
429.0, 0.0956, 
428.0, 0.0955, 
427.0, 0.0953, 
426.0, 0.0941, 
425.0, 0.0953, 
424.0, 0.0949, 
423.0, 0.0953, 
422.0, 0.0940, 
421.0, 0.0928, 
420.0, 0.0938, 
419.0, 0.0936, 
418.0, 0.0932, 
417.0, 0.0927, 
416.0, 0.0933, 
415.0, 0.0939, 
414.0, 0.0949, 
413.0, 0.0952, 
412.0, 0.0965, 
411.0, 0.0970, 
410.0, 0.0974, 
409.0, 0.0986, 
408.0, 0.0993, 
407.0, 0.1018, 
406.0, 0.1038, 
405.0, 0.1072, 
404.0, 0.1096, 
403.0, 0.1136, 
402.0, 0.1178, 
401.0, 0.1239, 
400.0, 0.1300, 
399.0, 0.1382, 
398.0, 0.1456, 
397.0, 0.1540, 
396.0, 0.1639, 
395.0, 0.1757, 
394.0, 0.1875, 
393.0, 0.2010, 
392.0, 0.2161, 
391.0, 0.2336, 
390.0, 0.2532, 
389.0, 0.2729, 
388.0, 0.2959, 
387.0, 0.3200, 
386.0, 0.3468, 
385.0, 0.3778, 
384.0, 0.4116, 
383.0, 0.4514, 
382.0, 0.4949, 
381.0, 0.5438, 
380.0, 0.5985, 
379.0, 0.6554, 
378.0, 0.7100, 
377.0, 0.7637, 
376.0, 0.8036, 
375.0, 0.8086, 
374.0, 0.7909, 
373.0, 0.7534, 
372.0, 0.6977, 
371.0, 0.6320, 
370.0, 0.5667, 
369.0, 0.5110, 
368.0, 0.4695, 
367.0, 0.4418, 
366.0, 0.4284, 
365.0, 0.4267, 
364.0, 0.4353, 
363.0, 0.4488, 
362.0, 0.4670, 
361.0, 0.4889, 
360.0, 0.5116, 
359.0, 0.5343, 
358.0, 0.5562, 
357.0, 0.5733, 
356.0, 0.5852, 
355.0, 0.5905, 
354.0, 0.5850, 
353.0, 0.5700, 
352.0, 0.5464, 
351.0, 0.5173, 
350.0, 0.4862, 
349.0, 0.4558, 
348.0, 0.4273, 
347.0, 0.4018, 
346.0, 0.3786, 
345.0, 0.3592, 
344.0, 0.3427, 
343.0, 0.3290, 
342.0, 0.3190, 
341.0, 0.3109, 
340.0, 0.3042, 
339.0, 0.2998, 
338.0, 0.2976, 
337.0, 0.2964, 
336.0, 0.2967, 
335.0, 0.2970, 
334.0, 0.2983, 
333.0, 0.3004, 
332.0, 0.3028, 
331.0, 0.3067, 
330.0, 0.3107, 
329.0, 0.3161, 
328.0, 0.3222, 
327.0, 0.3267, 
326.0, 0.3322, 
325.0, 0.3388, 
324.0, 0.3449, 
323.0, 0.3521, 
322.0, 0.3610, 
321.0, 0.3707, 
320.0, 0.3831, 
319.0, 0.3977, 
318.0, 0.4170, 
317.0, 0.4358, 
316.0, 0.4580, 
315.0, 0.4832, 
314.0, 0.5105, 
313.0, 0.5395, 
312.0, 0.5710, 
311.0, 0.6047, 
310.0, 0.6390, 
309.0, 0.6765, 
308.0, 0.7170, 
307.0, 0.7570, 
306.0, 0.7981, 
305.0, 0.8396, 
304.0, 0.8797, 
303.0, 0.9167, 
302.0, 0.9523, 
301.0, 0.9878, 
300.0, 1.0235, 
299.0, 1.0614, 
298.0, 1.0998, 
297.0, 1.1375, 
296.0, 1.1785, 
295.0, 1.2228, 
294.0, 1.2641, 
293.0, 1.2995, 
292.0, 1.3304, 
291.0, 1.3559, 
290.0, 1.3755, 
289.0, 1.3840, 
288.0, 1.3831, 
287.0, 1.3806, 
286.0, 1.3753, 
285.0, 1.3656, 
284.0, 1.3531, 
283.0, 1.3445, 
282.0, 1.3328, 
281.0, 1.3258, 
280.0, 1.3236, 
279.0, 1.3257, 
278.0, 1.3187, 
277.0, 1.3097, 
276.0, 1.2930, 
275.0, 1.2695, 
274.0, 1.2504, 
273.0, 1.2311, 
272.0, 1.2212, 
271.0, 1.2153, 
270.0, 1.2088, 
269.0, 1.2018, 
268.0, 1.1932, 
267.0, 1.1895, 
266.0, 1.1934, 
265.0, 1.2028, 
264.0, 1.2165, 
263.0, 1.2316, 
262.0, 1.2538, 
261.0, 1.2727, 
260.0, 1.2953, 
259.0, 1.3208, 
258.0, 1.3465, 
257.0, 1.3778, 
256.0, 1.4043, 
255.0, 1.4339, 
254.0, 1.4699, 
253.0, 1.4937, 
252.0, 1.5279, 
251.0, 1.5598, 
250.0, 1.5942 
