Created as New Dataset, , 
nm, A, 
430.0, 0.0922, 
429.0, 0.0934, 
428.0, 0.0928, 
427.0, 0.0917, 
426.0, 0.0916, 
425.0, 0.0917, 
424.0, 0.0908, 
423.0, 0.0914, 
422.0, 0.0910, 
421.0, 0.0905, 
420.0, 0.0909, 
419.0, 0.0913, 
418.0, 0.0902, 
417.0, 0.0899, 
416.0, 0.0910, 
415.0, 0.0911, 
414.0, 0.0914, 
413.0, 0.0921, 
412.0, 0.0935, 
411.0, 0.0938, 
410.0, 0.0944, 
409.0, 0.0953, 
408.0, 0.0976, 
407.0, 0.1003, 
406.0, 0.1021, 
405.0, 0.1058, 
404.0, 0.1083, 
403.0, 0.1123, 
402.0, 0.1161, 
401.0, 0.1222, 
400.0, 0.1276, 
399.0, 0.1342, 
398.0, 0.1421, 
397.0, 0.1500, 
396.0, 0.1604, 
395.0, 0.1715, 
394.0, 0.1819, 
393.0, 0.1964, 
392.0, 0.2122, 
391.0, 0.2284, 
390.0, 0.2459, 
389.0, 0.2657, 
388.0, 0.2879, 
387.0, 0.3124, 
386.0, 0.3392, 
385.0, 0.3694, 
384.0, 0.4031, 
383.0, 0.4416, 
382.0, 0.4843, 
381.0, 0.5330, 
380.0, 0.5875, 
379.0, 0.6446, 
378.0, 0.7026, 
377.0, 0.7597, 
376.0, 0.8053, 
375.0, 0.8182, 
374.0, 0.8026, 
373.0, 0.7645, 
372.0, 0.7076, 
371.0, 0.6402, 
370.0, 0.5742, 
369.0, 0.5158, 
368.0, 0.4704, 
367.0, 0.4413, 
366.0, 0.4274, 
365.0, 0.4249, 
364.0, 0.4326, 
363.0, 0.4457, 
362.0, 0.4641, 
361.0, 0.4862, 
360.0, 0.5092, 
359.0, 0.5325, 
358.0, 0.5551, 
357.0, 0.5742, 
356.0, 0.5875, 
355.0, 0.5921, 
354.0, 0.5868, 
353.0, 0.5726, 
352.0, 0.5495, 
351.0, 0.5210, 
350.0, 0.4893, 
349.0, 0.4587, 
348.0, 0.4305, 
347.0, 0.4036, 
346.0, 0.3794, 
345.0, 0.3590, 
344.0, 0.3418, 
343.0, 0.3276, 
342.0, 0.3166, 
341.0, 0.3086, 
340.0, 0.3021, 
339.0, 0.2979, 
338.0, 0.2961, 
337.0, 0.2940, 
336.0, 0.2936, 
335.0, 0.2947, 
334.0, 0.2973, 
333.0, 0.2998, 
332.0, 0.3018, 
331.0, 0.3055, 
330.0, 0.3097, 
329.0, 0.3156, 
328.0, 0.3209, 
327.0, 0.3248, 
326.0, 0.3310, 
325.0, 0.3390, 
324.0, 0.3447, 
323.0, 0.3517, 
322.0, 0.3613, 
321.0, 0.3714, 
320.0, 0.3839, 
319.0, 0.3985, 
318.0, 0.4161, 
317.0, 0.4351, 
316.0, 0.4583, 
315.0, 0.4830, 
314.0, 0.5101, 
313.0, 0.5388, 
312.0, 0.5692, 
311.0, 0.6016, 
310.0, 0.6365, 
309.0, 0.6743, 
308.0, 0.7137, 
307.0, 0.7548, 
306.0, 0.7956, 
305.0, 0.8344, 
304.0, 0.8746, 
303.0, 0.9130, 
302.0, 0.9486, 
301.0, 0.9836, 
300.0, 1.0192, 
299.0, 1.0571, 
298.0, 1.0950, 
297.0, 1.1352, 
296.0, 1.1758, 
295.0, 1.2185, 
294.0, 1.2609, 
293.0, 1.2980, 
292.0, 1.3296, 
291.0, 1.3605, 
290.0, 1.3820, 
289.0, 1.3925, 
288.0, 1.3901, 
287.0, 1.3863, 
286.0, 1.3833, 
285.0, 1.3684, 
284.0, 1.3576, 
283.0, 1.3512, 
282.0, 1.3408, 
281.0, 1.3310, 
280.0, 1.3275, 
279.0, 1.3305, 
278.0, 1.3267, 
277.0, 1.3155, 
276.0, 1.2968, 
275.0, 1.2723, 
274.0, 1.2510, 
273.0, 1.2354, 
272.0, 1.2242, 
271.0, 1.2165, 
270.0, 1.2099, 
269.0, 1.2025, 
268.0, 1.1920, 
267.0, 1.1871, 
266.0, 1.1938, 
265.0, 1.2026, 
264.0, 1.2153, 
263.0, 1.2288, 
262.0, 1.2476, 
261.0, 1.2679, 
260.0, 1.2914, 
259.0, 1.3155, 
258.0, 1.3385, 
257.0, 1.3709, 
256.0, 1.4042, 
255.0, 1.4381, 
254.0, 1.4683, 
253.0, 1.4966, 
252.0, 1.5288, 
251.0, 1.5530, 
250.0, 1.5856 
