Created as New Dataset, , 
nm, A, 
430.0, 0.0828, 
429.0, 0.0831, 
428.0, 0.0821, 
427.0, 0.0824, 
426.0, 0.0815, 
425.0, 0.0816, 
424.0, 0.0814, 
423.0, 0.0817, 
422.0, 0.0810, 
421.0, 0.0796, 
420.0, 0.0803, 
419.0, 0.0811, 
418.0, 0.0803, 
417.0, 0.0808, 
416.0, 0.0806, 
415.0, 0.0814, 
414.0, 0.0825, 
413.0, 0.0822, 
412.0, 0.0826, 
411.0, 0.0834, 
410.0, 0.0835, 
409.0, 0.0853, 
408.0, 0.0856, 
407.0, 0.0878, 
406.0, 0.0900, 
405.0, 0.0930, 
404.0, 0.0968, 
403.0, 0.1007, 
402.0, 0.1057, 
401.0, 0.1106, 
400.0, 0.1155, 
399.0, 0.1225, 
398.0, 0.1299, 
397.0, 0.1379, 
396.0, 0.1478, 
395.0, 0.1584, 
394.0, 0.1693, 
393.0, 0.1811, 
392.0, 0.1945, 
391.0, 0.2099, 
390.0, 0.2290, 
389.0, 0.2483, 
388.0, 0.2676, 
387.0, 0.2914, 
386.0, 0.3177, 
385.0, 0.3457, 
384.0, 0.3771, 
383.0, 0.4116, 
382.0, 0.4492, 
381.0, 0.4904, 
380.0, 0.5376, 
379.0, 0.5863, 
378.0, 0.6368, 
377.0, 0.6886, 
376.0, 0.7355, 
375.0, 0.7656, 
374.0, 0.7741, 
373.0, 0.7638, 
372.0, 0.7384, 
371.0, 0.6971, 
370.0, 0.6464, 
369.0, 0.5943, 
368.0, 0.5482, 
367.0, 0.5106, 
366.0, 0.4835, 
365.0, 0.4676, 
364.0, 0.4568, 
363.0, 0.4495, 
362.0, 0.4482, 
361.0, 0.4510, 
360.0, 0.4573, 
359.0, 0.4673, 
358.0, 0.4806, 
357.0, 0.4961, 
356.0, 0.5135, 
355.0, 0.5297, 
354.0, 0.5413, 
353.0, 0.5498, 
352.0, 0.5513, 
351.0, 0.5454, 
350.0, 0.5342, 
349.0, 0.5192, 
348.0, 0.5024, 
347.0, 0.4848, 
346.0, 0.4661, 
345.0, 0.4481, 
344.0, 0.4319, 
343.0, 0.4173, 
342.0, 0.4028, 
341.0, 0.3893, 
340.0, 0.3762, 
339.0, 0.3656, 
338.0, 0.3575, 
337.0, 0.3506, 
336.0, 0.3458, 
335.0, 0.3413, 
334.0, 0.3384, 
333.0, 0.3368, 
332.0, 0.3354, 
331.0, 0.3368, 
330.0, 0.3396, 
329.0, 0.3422, 
328.0, 0.3453, 
327.0, 0.3491, 
326.0, 0.3534, 
325.0, 0.3582, 
324.0, 0.3636, 
323.0, 0.3707, 
322.0, 0.3799, 
321.0, 0.3906, 
320.0, 0.4044, 
319.0, 0.4215, 
318.0, 0.4411, 
317.0, 0.4607, 
316.0, 0.4845, 
315.0, 0.5100, 
314.0, 0.5369, 
313.0, 0.5662, 
312.0, 0.5962, 
311.0, 0.6269, 
310.0, 0.6602, 
309.0, 0.6962, 
308.0, 0.7344, 
307.0, 0.7741, 
306.0, 0.8152, 
305.0, 0.8554, 
304.0, 0.8951, 
303.0, 0.9335, 
302.0, 0.9717, 
301.0, 1.0111, 
300.0, 1.0482, 
299.0, 1.0856, 
298.0, 1.1249, 
297.0, 1.1636, 
296.0, 1.2002, 
295.0, 1.2392, 
294.0, 1.2760, 
293.0, 1.3038, 
292.0, 1.3295, 
291.0, 1.3525, 
290.0, 1.3655, 
289.0, 1.3708, 
288.0, 1.3675, 
287.0, 1.3576, 
286.0, 1.3465, 
285.0, 1.3433, 
284.0, 1.3424, 
283.0, 1.3374, 
282.0, 1.3295, 
281.0, 1.3275, 
280.0, 1.3298, 
279.0, 1.3285, 
278.0, 1.3250, 
277.0, 1.3144, 
276.0, 1.2971, 
275.0, 1.2801, 
274.0, 1.2685, 
273.0, 1.2640, 
272.0, 1.2619, 
271.0, 1.2578, 
270.0, 1.2531, 
269.0, 1.2462, 
268.0, 1.2386, 
267.0, 1.2382, 
266.0, 1.2439, 
265.0, 1.2528, 
264.0, 1.2666, 
263.0, 1.2844, 
262.0, 1.3047, 
261.0, 1.3250, 
260.0, 1.3501, 
259.0, 1.3810, 
258.0, 1.4088, 
257.0, 1.4361, 
256.0, 1.4714, 
255.0, 1.5066, 
254.0, 1.5371, 
253.0, 1.5736, 
252.0, 1.6119, 
251.0, 1.6432, 
250.0, 1.6718 
