Created as New Dataset, , 
nm, A, 
430.0, 0.0899, 
429.0, 0.0912, 
428.0, 0.0898, 
427.0, 0.0885, 
426.0, 0.0887, 
425.0, 0.0896, 
424.0, 0.0890, 
423.0, 0.0890, 
422.0, 0.0888, 
421.0, 0.0880, 
420.0, 0.0884, 
419.0, 0.0893, 
418.0, 0.0884, 
417.0, 0.0880, 
416.0, 0.0893, 
415.0, 0.0906, 
414.0, 0.0908, 
413.0, 0.0909, 
412.0, 0.0917, 
411.0, 0.0925, 
410.0, 0.0919, 
409.0, 0.0932, 
408.0, 0.0944, 
407.0, 0.0973, 
406.0, 0.0997, 
405.0, 0.1026, 
404.0, 0.1051, 
403.0, 0.1088, 
402.0, 0.1134, 
401.0, 0.1192, 
400.0, 0.1244, 
399.0, 0.1321, 
398.0, 0.1397, 
397.0, 0.1474, 
396.0, 0.1567, 
395.0, 0.1675, 
394.0, 0.1794, 
393.0, 0.1931, 
392.0, 0.2067, 
391.0, 0.2225, 
390.0, 0.2405, 
389.0, 0.2598, 
388.0, 0.2806, 
387.0, 0.3028, 
386.0, 0.3287, 
385.0, 0.3574, 
384.0, 0.3893, 
383.0, 0.4244, 
382.0, 0.4632, 
381.0, 0.5075, 
380.0, 0.5523, 
379.0, 0.6030, 
378.0, 0.6561, 
377.0, 0.7103, 
376.0, 0.7590, 
375.0, 0.7833, 
374.0, 0.7865, 
373.0, 0.7737, 
372.0, 0.7413, 
371.0, 0.6938, 
370.0, 0.6395, 
369.0, 0.5842, 
368.0, 0.5368, 
367.0, 0.4991, 
366.0, 0.4725, 
365.0, 0.4566, 
364.0, 0.4499, 
363.0, 0.4498, 
362.0, 0.4547, 
361.0, 0.4621, 
360.0, 0.4735, 
359.0, 0.4874, 
358.0, 0.5042, 
357.0, 0.5202, 
356.0, 0.5370, 
355.0, 0.5535, 
354.0, 0.5632, 
353.0, 0.5663, 
352.0, 0.5611, 
351.0, 0.5495, 
350.0, 0.5339, 
349.0, 0.5144, 
348.0, 0.4929, 
347.0, 0.4712, 
346.0, 0.4507, 
345.0, 0.4310, 
344.0, 0.4142, 
343.0, 0.3994, 
342.0, 0.3852, 
341.0, 0.3723, 
340.0, 0.3610, 
339.0, 0.3523, 
338.0, 0.3452, 
337.0, 0.3396, 
336.0, 0.3358, 
335.0, 0.3332, 
334.0, 0.3321, 
333.0, 0.3317, 
332.0, 0.3317, 
331.0, 0.3332, 
330.0, 0.3360, 
329.0, 0.3389, 
328.0, 0.3421, 
327.0, 0.3464, 
326.0, 0.3513, 
325.0, 0.3569, 
324.0, 0.3626, 
323.0, 0.3702, 
322.0, 0.3799, 
321.0, 0.3914, 
320.0, 0.4040, 
319.0, 0.4201, 
318.0, 0.4404, 
317.0, 0.4590, 
316.0, 0.4816, 
315.0, 0.5075, 
314.0, 0.5351, 
313.0, 0.5644, 
312.0, 0.5955, 
311.0, 0.6273, 
310.0, 0.6602, 
309.0, 0.6967, 
308.0, 0.7353, 
307.0, 0.7747, 
306.0, 0.8151, 
305.0, 0.8554, 
304.0, 0.8952, 
303.0, 0.9347, 
302.0, 0.9731, 
301.0, 1.0104, 
300.0, 1.0491, 
299.0, 1.0881, 
298.0, 1.1250, 
297.0, 1.1646, 
296.0, 1.2042, 
295.0, 1.2412, 
294.0, 1.2741, 
293.0, 1.3092, 
292.0, 1.3400, 
291.0, 1.3625, 
290.0, 1.3780, 
289.0, 1.3848, 
288.0, 1.3842, 
287.0, 1.3809, 
286.0, 1.3734, 
285.0, 1.3632, 
284.0, 1.3531, 
283.0, 1.3413, 
282.0, 1.3358, 
281.0, 1.3360, 
280.0, 1.3356, 
279.0, 1.3350, 
278.0, 1.3317, 
277.0, 1.3203, 
276.0, 1.3031, 
275.0, 1.2857, 
274.0, 1.2696, 
273.0, 1.2637, 
272.0, 1.2586, 
271.0, 1.2553, 
270.0, 1.2522, 
269.0, 1.2422, 
268.0, 1.2332, 
267.0, 1.2305, 
266.0, 1.2365, 
265.0, 1.2478, 
264.0, 1.2613, 
263.0, 1.2760, 
262.0, 1.2926, 
261.0, 1.3147, 
260.0, 1.3369, 
259.0, 1.3647, 
258.0, 1.3955, 
257.0, 1.4240, 
256.0, 1.4539, 
255.0, 1.4860, 
254.0, 1.5178, 
253.0, 1.5532, 
252.0, 1.5875, 
251.0, 1.6228, 
250.0, 1.6476 
