Created as New Dataset, , 
nm, A, 
430.0, 0.0929, 
429.0, 0.0901, 
428.0, 0.0887, 
427.0, 0.0870, 
426.0, 0.0860, 
425.0, 0.0868, 
424.0, 0.0861, 
423.0, 0.0862, 
422.0, 0.0864, 
421.0, 0.0852, 
420.0, 0.0854, 
419.0, 0.0849, 
418.0, 0.0843, 
417.0, 0.0854, 
416.0, 0.0853, 
415.0, 0.0862, 
414.0, 0.0869, 
413.0, 0.0875, 
412.0, 0.0887, 
411.0, 0.0898, 
410.0, 0.0900, 
409.0, 0.0907, 
408.0, 0.0921, 
407.0, 0.0947, 
406.0, 0.0965, 
405.0, 0.0994, 
404.0, 0.1018, 
403.0, 0.1053, 
402.0, 0.1108, 
401.0, 0.1164, 
400.0, 0.1227, 
399.0, 0.1298, 
398.0, 0.1374, 
397.0, 0.1450, 
396.0, 0.1540, 
395.0, 0.1649, 
394.0, 0.1765, 
393.0, 0.1899, 
392.0, 0.2035, 
391.0, 0.2193, 
390.0, 0.2385, 
389.0, 0.2582, 
388.0, 0.2782, 
387.0, 0.3016, 
386.0, 0.3269, 
385.0, 0.3548, 
384.0, 0.3866, 
383.0, 0.4214, 
382.0, 0.4597, 
381.0, 0.5019, 
380.0, 0.5481, 
379.0, 0.5983, 
378.0, 0.6502, 
377.0, 0.7034, 
376.0, 0.7522, 
375.0, 0.7789, 
374.0, 0.7855, 
373.0, 0.7738, 
372.0, 0.7440, 
371.0, 0.6975, 
370.0, 0.6436, 
369.0, 0.5885, 
368.0, 0.5403, 
367.0, 0.5021, 
366.0, 0.4757, 
365.0, 0.4591, 
364.0, 0.4501, 
363.0, 0.4488, 
362.0, 0.4531, 
361.0, 0.4590, 
360.0, 0.4687, 
359.0, 0.4831, 
358.0, 0.4984, 
357.0, 0.5144, 
356.0, 0.5313, 
355.0, 0.5486, 
354.0, 0.5607, 
353.0, 0.5650, 
352.0, 0.5599, 
351.0, 0.5497, 
350.0, 0.5346, 
349.0, 0.5148, 
348.0, 0.4942, 
347.0, 0.4742, 
346.0, 0.4540, 
345.0, 0.4353, 
344.0, 0.4184, 
343.0, 0.4027, 
342.0, 0.3881, 
341.0, 0.3759, 
340.0, 0.3644, 
339.0, 0.3555, 
338.0, 0.3482, 
337.0, 0.3419, 
336.0, 0.3369, 
335.0, 0.3337, 
334.0, 0.3324, 
333.0, 0.3321, 
332.0, 0.3329, 
331.0, 0.3347, 
330.0, 0.3376, 
329.0, 0.3411, 
328.0, 0.3451, 
327.0, 0.3494, 
326.0, 0.3544, 
325.0, 0.3605, 
324.0, 0.3661, 
323.0, 0.3731, 
322.0, 0.3818, 
321.0, 0.3920, 
320.0, 0.4049, 
319.0, 0.4208, 
318.0, 0.4418, 
317.0, 0.4622, 
316.0, 0.4856, 
315.0, 0.5111, 
314.0, 0.5388, 
313.0, 0.5675, 
312.0, 0.5970, 
311.0, 0.6275, 
310.0, 0.6615, 
309.0, 0.6968, 
308.0, 0.7342, 
307.0, 0.7746, 
306.0, 0.8156, 
305.0, 0.8554, 
304.0, 0.8962, 
303.0, 0.9366, 
302.0, 0.9742, 
301.0, 1.0116, 
300.0, 1.0479, 
299.0, 1.0854, 
298.0, 1.1250, 
297.0, 1.1621, 
296.0, 1.2021, 
295.0, 1.2434, 
294.0, 1.2796, 
293.0, 1.3105, 
292.0, 1.3368, 
291.0, 1.3592, 
290.0, 1.3722, 
289.0, 1.3777, 
288.0, 1.3796, 
287.0, 1.3745, 
286.0, 1.3718, 
285.0, 1.3651, 
284.0, 1.3540, 
283.0, 1.3423, 
282.0, 1.3351, 
281.0, 1.3330, 
280.0, 1.3351, 
279.0, 1.3360, 
278.0, 1.3297, 
277.0, 1.3190, 
276.0, 1.3049, 
275.0, 1.2860, 
274.0, 1.2715, 
273.0, 1.2644, 
272.0, 1.2564, 
271.0, 1.2558, 
270.0, 1.2531, 
269.0, 1.2432, 
268.0, 1.2370, 
267.0, 1.2347, 
266.0, 1.2375, 
265.0, 1.2477, 
264.0, 1.2607, 
263.0, 1.2779, 
262.0, 1.2955, 
261.0, 1.3167, 
260.0, 1.3378, 
259.0, 1.3630, 
258.0, 1.3928, 
257.0, 1.4240, 
256.0, 1.4598, 
255.0, 1.4890, 
254.0, 1.5238, 
253.0, 1.5568, 
252.0, 1.5867, 
251.0, 1.6200, 
250.0, 1.6571 
