Created as New Dataset, , 
nm, A, 
430.0, 0.0984, 
429.0, 0.0987, 
428.0, 0.0984, 
427.0, 0.0974, 
426.0, 0.0970, 
425.0, 0.0971, 
424.0, 0.0973, 
423.0, 0.0970, 
422.0, 0.0968, 
421.0, 0.0950, 
420.0, 0.0964, 
419.0, 0.0962, 
418.0, 0.0969, 
417.0, 0.0968, 
416.0, 0.0969, 
415.0, 0.0974, 
414.0, 0.0987, 
413.0, 0.0985, 
412.0, 0.0995, 
411.0, 0.1004, 
410.0, 0.1004, 
409.0, 0.1015, 
408.0, 0.1030, 
407.0, 0.1059, 
406.0, 0.1078, 
405.0, 0.1114, 
404.0, 0.1138, 
403.0, 0.1173, 
402.0, 0.1222, 
401.0, 0.1282, 
400.0, 0.1338, 
399.0, 0.1419, 
398.0, 0.1489, 
397.0, 0.1565, 
396.0, 0.1660, 
395.0, 0.1773, 
394.0, 0.1898, 
393.0, 0.2038, 
392.0, 0.2193, 
391.0, 0.2364, 
390.0, 0.2549, 
389.0, 0.2761, 
388.0, 0.2986, 
387.0, 0.3234, 
386.0, 0.3507, 
385.0, 0.3819, 
384.0, 0.4160, 
383.0, 0.4539, 
382.0, 0.4959, 
381.0, 0.5419, 
380.0, 0.5924, 
379.0, 0.6477, 
378.0, 0.7029, 
377.0, 0.7548, 
376.0, 0.7973, 
375.0, 0.8107, 
374.0, 0.7986, 
373.0, 0.7668, 
372.0, 0.7145, 
371.0, 0.6541, 
370.0, 0.5918, 
369.0, 0.5362, 
368.0, 0.4922, 
367.0, 0.4625, 
366.0, 0.4449, 
365.0, 0.4393, 
364.0, 0.4432, 
363.0, 0.4523, 
362.0, 0.4663, 
361.0, 0.4834, 
360.0, 0.5023, 
359.0, 0.5238, 
358.0, 0.5448, 
357.0, 0.5634, 
356.0, 0.5788, 
355.0, 0.5880, 
354.0, 0.5885, 
353.0, 0.5781, 
352.0, 0.5594, 
351.0, 0.5351, 
350.0, 0.5084, 
349.0, 0.4805, 
348.0, 0.4530, 
347.0, 0.4278, 
346.0, 0.4050, 
345.0, 0.3851, 
344.0, 0.3689, 
343.0, 0.3551, 
342.0, 0.3436, 
341.0, 0.3344, 
340.0, 0.3269, 
339.0, 0.3206, 
338.0, 0.3174, 
337.0, 0.3152, 
336.0, 0.3140, 
335.0, 0.3142, 
334.0, 0.3149, 
333.0, 0.3155, 
332.0, 0.3170, 
331.0, 0.3192, 
330.0, 0.3224, 
329.0, 0.3267, 
328.0, 0.3322, 
327.0, 0.3370, 
326.0, 0.3428, 
325.0, 0.3493, 
324.0, 0.3548, 
323.0, 0.3621, 
322.0, 0.3719, 
321.0, 0.3826, 
320.0, 0.3939, 
319.0, 0.4089, 
318.0, 0.4291, 
317.0, 0.4489, 
316.0, 0.4716, 
315.0, 0.4971, 
314.0, 0.5246, 
313.0, 0.5538, 
312.0, 0.5852, 
311.0, 0.6191, 
310.0, 0.6552, 
309.0, 0.6928, 
308.0, 0.7306, 
307.0, 0.7720, 
306.0, 0.8148, 
305.0, 0.8546, 
304.0, 0.8931, 
303.0, 0.9312, 
302.0, 0.9692, 
301.0, 1.0078, 
300.0, 1.0450, 
299.0, 1.0831, 
298.0, 1.1230, 
297.0, 1.1618, 
296.0, 1.2029, 
295.0, 1.2437, 
294.0, 1.2796, 
293.0, 1.3132, 
292.0, 1.3396, 
291.0, 1.3628, 
290.0, 1.3827, 
289.0, 1.3899, 
288.0, 1.3869, 
287.0, 1.3816, 
286.0, 1.3733, 
285.0, 1.3609, 
284.0, 1.3536, 
283.0, 1.3486, 
282.0, 1.3395, 
281.0, 1.3336, 
280.0, 1.3339, 
279.0, 1.3333, 
278.0, 1.3276, 
277.0, 1.3164, 
276.0, 1.2999, 
275.0, 1.2784, 
274.0, 1.2559, 
273.0, 1.2444, 
272.0, 1.2405, 
271.0, 1.2359, 
270.0, 1.2290, 
269.0, 1.2218, 
268.0, 1.2153, 
267.0, 1.2120, 
266.0, 1.2180, 
265.0, 1.2290, 
264.0, 1.2403, 
263.0, 1.2526, 
262.0, 1.2696, 
261.0, 1.2897, 
260.0, 1.3164, 
259.0, 1.3411, 
258.0, 1.3695, 
257.0, 1.3947, 
256.0, 1.4234, 
255.0, 1.4551, 
254.0, 1.4913, 
253.0, 1.5209, 
252.0, 1.5506, 
251.0, 1.5888, 
250.0, 1.6153 
