Created as New Dataset, , 
nm, A, 
430.0, 0.0937, 
429.0, 0.0947, 
428.0, 0.0945, 
427.0, 0.0938, 
426.0, 0.0936, 
425.0, 0.0935, 
424.0, 0.0926, 
423.0, 0.0932, 
422.0, 0.0927, 
421.0, 0.0917, 
420.0, 0.0930, 
419.0, 0.0920, 
418.0, 0.0922, 
417.0, 0.0924, 
416.0, 0.0924, 
415.0, 0.0933, 
414.0, 0.0940, 
413.0, 0.0935, 
412.0, 0.0954, 
411.0, 0.0970, 
410.0, 0.0968, 
409.0, 0.0983, 
408.0, 0.0997, 
407.0, 0.1016, 
406.0, 0.1035, 
405.0, 0.1066, 
404.0, 0.1091, 
403.0, 0.1133, 
402.0, 0.1181, 
401.0, 0.1240, 
400.0, 0.1281, 
399.0, 0.1362, 
398.0, 0.1433, 
397.0, 0.1513, 
396.0, 0.1616, 
395.0, 0.1732, 
394.0, 0.1851, 
393.0, 0.1983, 
392.0, 0.2122, 
391.0, 0.2284, 
390.0, 0.2472, 
389.0, 0.2658, 
388.0, 0.2867, 
387.0, 0.3101, 
386.0, 0.3362, 
385.0, 0.3649, 
384.0, 0.3980, 
383.0, 0.4337, 
382.0, 0.4724, 
381.0, 0.5167, 
380.0, 0.5665, 
379.0, 0.6184, 
378.0, 0.6709, 
377.0, 0.7233, 
376.0, 0.7704, 
375.0, 0.7930, 
374.0, 0.7928, 
373.0, 0.7727, 
372.0, 0.7352, 
371.0, 0.6851, 
370.0, 0.6275, 
369.0, 0.5714, 
368.0, 0.5243, 
367.0, 0.4894, 
366.0, 0.4644, 
365.0, 0.4503, 
364.0, 0.4464, 
363.0, 0.4487, 
362.0, 0.4570, 
361.0, 0.4673, 
360.0, 0.4811, 
359.0, 0.4974, 
358.0, 0.5163, 
357.0, 0.5337, 
356.0, 0.5504, 
355.0, 0.5640, 
354.0, 0.5720, 
353.0, 0.5718, 
352.0, 0.5623, 
351.0, 0.5475, 
350.0, 0.5282, 
349.0, 0.5054, 
348.0, 0.4816, 
347.0, 0.4593, 
346.0, 0.4385, 
345.0, 0.4186, 
344.0, 0.4006, 
343.0, 0.3854, 
342.0, 0.3725, 
341.0, 0.3607, 
340.0, 0.3499, 
339.0, 0.3422, 
338.0, 0.3369, 
337.0, 0.3320, 
336.0, 0.3283, 
335.0, 0.3263, 
334.0, 0.3255, 
333.0, 0.3255, 
332.0, 0.3261, 
331.0, 0.3272, 
330.0, 0.3308, 
329.0, 0.3353, 
328.0, 0.3393, 
327.0, 0.3437, 
326.0, 0.3485, 
325.0, 0.3547, 
324.0, 0.3612, 
323.0, 0.3679, 
322.0, 0.3759, 
321.0, 0.3863, 
320.0, 0.4004, 
319.0, 0.4167, 
318.0, 0.4369, 
317.0, 0.4566, 
316.0, 0.4799, 
315.0, 0.5045, 
314.0, 0.5314, 
313.0, 0.5601, 
312.0, 0.5901, 
311.0, 0.6231, 
310.0, 0.6578, 
309.0, 0.6938, 
308.0, 0.7315, 
307.0, 0.7716, 
306.0, 0.8141, 
305.0, 0.8538, 
304.0, 0.8928, 
303.0, 0.9330, 
302.0, 0.9723, 
301.0, 1.0099, 
300.0, 1.0467, 
299.0, 1.0862, 
298.0, 1.1236, 
297.0, 1.1641, 
296.0, 1.2039, 
295.0, 1.2432, 
294.0, 1.2819, 
293.0, 1.3110, 
292.0, 1.3373, 
291.0, 1.3599, 
290.0, 1.3728, 
289.0, 1.3806, 
288.0, 1.3809, 
287.0, 1.3735, 
286.0, 1.3666, 
285.0, 1.3573, 
284.0, 1.3473, 
283.0, 1.3400, 
282.0, 1.3342, 
281.0, 1.3287, 
280.0, 1.3294, 
279.0, 1.3317, 
278.0, 1.3297, 
277.0, 1.3198, 
276.0, 1.3001, 
275.0, 1.2804, 
274.0, 1.2665, 
273.0, 1.2566, 
272.0, 1.2489, 
271.0, 1.2486, 
270.0, 1.2439, 
269.0, 1.2328, 
268.0, 1.2281, 
267.0, 1.2249, 
266.0, 1.2288, 
265.0, 1.2384, 
264.0, 1.2505, 
263.0, 1.2676, 
262.0, 1.2841, 
261.0, 1.3020, 
260.0, 1.3305, 
259.0, 1.3535, 
258.0, 1.3788, 
257.0, 1.4152, 
256.0, 1.4478, 
255.0, 1.4786, 
254.0, 1.5077, 
253.0, 1.5459, 
252.0, 1.5739, 
251.0, 1.6088, 
250.0, 1.6364 
