Created as New Dataset, , 
nm, A, 
430.0, 0.0863, 
429.0, 0.0859, 
428.0, 0.0856, 
427.0, 0.0850, 
426.0, 0.0855, 
425.0, 0.0859, 
424.0, 0.0852, 
423.0, 0.0847, 
422.0, 0.0837, 
421.0, 0.0830, 
420.0, 0.0839, 
419.0, 0.0843, 
418.0, 0.0835, 
417.0, 0.0835, 
416.0, 0.0834, 
415.0, 0.0837, 
414.0, 0.0838, 
413.0, 0.0846, 
412.0, 0.0843, 
411.0, 0.0846, 
410.0, 0.0849, 
409.0, 0.0851, 
408.0, 0.0849, 
407.0, 0.0855, 
406.0, 0.0873, 
405.0, 0.0911, 
404.0, 0.0945, 
403.0, 0.0973, 
402.0, 0.1004, 
401.0, 0.1056, 
400.0, 0.1101, 
399.0, 0.1154, 
398.0, 0.1207, 
397.0, 0.1275, 
396.0, 0.1364, 
395.0, 0.1453, 
394.0, 0.1553, 
393.0, 0.1659, 
392.0, 0.1775, 
391.0, 0.1904, 
390.0, 0.2048, 
389.0, 0.2203, 
388.0, 0.2368, 
387.0, 0.2553, 
386.0, 0.2757, 
385.0, 0.2992, 
384.0, 0.3261, 
383.0, 0.3563, 
382.0, 0.3880, 
381.0, 0.4250, 
380.0, 0.4670, 
379.0, 0.5126, 
378.0, 0.5606, 
377.0, 0.6151, 
376.0, 0.6761, 
375.0, 0.7268, 
374.0, 0.7596, 
373.0, 0.7779, 
372.0, 0.7838, 
371.0, 0.7698, 
370.0, 0.7406, 
369.0, 0.6995, 
368.0, 0.6527, 
367.0, 0.6054, 
366.0, 0.5627, 
365.0, 0.5272, 
364.0, 0.4987, 
363.0, 0.4754, 
362.0, 0.4594, 
361.0, 0.4464, 
360.0, 0.4391, 
359.0, 0.4370, 
358.0, 0.4419, 
357.0, 0.4497, 
356.0, 0.4633, 
355.0, 0.4834, 
354.0, 0.5066, 
353.0, 0.5297, 
352.0, 0.5485, 
351.0, 0.5593, 
350.0, 0.5627, 
349.0, 0.5620, 
348.0, 0.5560, 
347.0, 0.5432, 
346.0, 0.5276, 
345.0, 0.5101, 
344.0, 0.4922, 
343.0, 0.4742, 
342.0, 0.4570, 
341.0, 0.4399, 
340.0, 0.4230, 
339.0, 0.4093, 
338.0, 0.3963, 
337.0, 0.3836, 
336.0, 0.3730, 
335.0, 0.3644, 
334.0, 0.3584, 
333.0, 0.3530, 
332.0, 0.3499, 
331.0, 0.3490, 
330.0, 0.3502, 
329.0, 0.3533, 
328.0, 0.3556, 
327.0, 0.3576, 
326.0, 0.3592, 
325.0, 0.3628, 
324.0, 0.3678, 
323.0, 0.3738, 
322.0, 0.3844, 
321.0, 0.3963, 
320.0, 0.4064, 
319.0, 0.4208, 
318.0, 0.4390, 
317.0, 0.4576, 
316.0, 0.4802, 
315.0, 0.5035, 
314.0, 0.5282, 
313.0, 0.5528, 
312.0, 0.5788, 
311.0, 0.6061, 
310.0, 0.6354, 
309.0, 0.6677, 
308.0, 0.7017, 
307.0, 0.7355, 
306.0, 0.7676, 
305.0, 0.8081, 
304.0, 0.8563, 
303.0, 0.9027, 
302.0, 0.9463, 
301.0, 0.9875, 
300.0, 1.0277, 
299.0, 1.0686, 
298.0, 1.1117, 
297.0, 1.1537, 
296.0, 1.1908, 
295.0, 1.2296, 
294.0, 1.2685, 
293.0, 1.3001, 
292.0, 1.3327, 
291.0, 1.3585, 
290.0, 1.3738, 
289.0, 1.3848, 
288.0, 1.3884, 
287.0, 1.3839, 
286.0, 1.3765, 
285.0, 1.3725, 
284.0, 1.3660, 
283.0, 1.3562, 
282.0, 1.3515, 
281.0, 1.3499, 
280.0, 1.3516, 
279.0, 1.3488, 
278.0, 1.3412, 
277.0, 1.3278, 
276.0, 1.3142, 
275.0, 1.2995, 
274.0, 1.2917, 
273.0, 1.2877, 
272.0, 1.2863, 
271.0, 1.2923, 
270.0, 1.2987, 
269.0, 1.3191, 
268.0, 1.3011, 
267.0, 1.2808, 
266.0, 1.2780, 
265.0, 1.2846, 
264.0, 1.2974, 
263.0, 1.3155, 
262.0, 1.3336, 
261.0, 1.3547, 
260.0, 1.3764, 
259.0, 1.3968, 
258.0, 1.4177, 
257.0, 1.4523, 
256.0, 1.4963, 
255.0, 1.5282, 
254.0, 1.5642, 
253.0, 1.5982, 
252.0, 1.5969, 
251.0, 1.5593, 
250.0, 1.6350 
