Created as New Dataset, , 
nm, A, 
430.0, 0.0913, 
429.0, 0.0914, 
428.0, 0.0914, 
427.0, 0.0909, 
426.0, 0.0899, 
425.0, 0.0911, 
424.0, 0.0922, 
423.0, 0.0911, 
422.0, 0.0901, 
421.0, 0.0887, 
420.0, 0.0890, 
419.0, 0.0890, 
418.0, 0.0893, 
417.0, 0.0886, 
416.0, 0.0896, 
415.0, 0.0901, 
414.0, 0.0896, 
413.0, 0.0910, 
412.0, 0.0924, 
411.0, 0.0928, 
410.0, 0.0930, 
409.0, 0.0944, 
408.0, 0.0949, 
407.0, 0.0978, 
406.0, 0.0989, 
405.0, 0.1026, 
404.0, 0.1068, 
403.0, 0.1106, 
402.0, 0.1141, 
401.0, 0.1199, 
400.0, 0.1257, 
399.0, 0.1333, 
398.0, 0.1409, 
397.0, 0.1483, 
396.0, 0.1574, 
395.0, 0.1693, 
394.0, 0.1824, 
393.0, 0.1945, 
392.0, 0.2086, 
391.0, 0.2247, 
390.0, 0.2432, 
389.0, 0.2629, 
388.0, 0.2835, 
387.0, 0.3057, 
386.0, 0.3320, 
385.0, 0.3613, 
384.0, 0.3932, 
383.0, 0.4295, 
382.0, 0.4682, 
381.0, 0.5114, 
380.0, 0.5593, 
379.0, 0.6113, 
378.0, 0.6654, 
377.0, 0.7174, 
376.0, 0.7599, 
375.0, 0.7838, 
374.0, 0.7882, 
373.0, 0.7728, 
372.0, 0.7371, 
371.0, 0.6863, 
370.0, 0.6301, 
369.0, 0.5750, 
368.0, 0.5278, 
367.0, 0.4909, 
366.0, 0.4650, 
365.0, 0.4508, 
364.0, 0.4459, 
363.0, 0.4474, 
362.0, 0.4546, 
361.0, 0.4643, 
360.0, 0.4772, 
359.0, 0.4929, 
358.0, 0.5107, 
357.0, 0.5282, 
356.0, 0.5446, 
355.0, 0.5587, 
354.0, 0.5676, 
353.0, 0.5705, 
352.0, 0.5635, 
351.0, 0.5490, 
350.0, 0.5301, 
349.0, 0.5079, 
348.0, 0.4850, 
347.0, 0.4629, 
346.0, 0.4413, 
345.0, 0.4215, 
344.0, 0.4050, 
343.0, 0.3901, 
342.0, 0.3772, 
341.0, 0.3659, 
340.0, 0.3547, 
339.0, 0.3454, 
338.0, 0.3391, 
337.0, 0.3345, 
336.0, 0.3302, 
335.0, 0.3272, 
334.0, 0.3270, 
333.0, 0.3272, 
332.0, 0.3279, 
331.0, 0.3295, 
330.0, 0.3321, 
329.0, 0.3356, 
328.0, 0.3406, 
327.0, 0.3454, 
326.0, 0.3504, 
325.0, 0.3567, 
324.0, 0.3629, 
323.0, 0.3705, 
322.0, 0.3794, 
321.0, 0.3900, 
320.0, 0.4026, 
319.0, 0.4175, 
318.0, 0.4448, 
317.0, 0.4715, 
316.0, 0.4913, 
315.0, 0.5102, 
314.0, 0.5351, 
313.0, 0.5634, 
312.0, 0.5930, 
311.0, 0.6258, 
310.0, 0.6601, 
309.0, 0.6960, 
308.0, 0.7343, 
307.0, 0.7732, 
306.0, 0.8136, 
305.0, 0.8543, 
304.0, 0.8934, 
303.0, 0.9334, 
302.0, 0.9726, 
301.0, 1.0102, 
300.0, 1.0477, 
299.0, 1.0867, 
298.0, 1.1261, 
297.0, 1.1647, 
296.0, 1.2041, 
295.0, 1.2444, 
294.0, 1.2802, 
293.0, 1.3117, 
292.0, 1.3394, 
291.0, 1.3596, 
290.0, 1.3758, 
289.0, 1.3850, 
288.0, 1.3819, 
287.0, 1.3758, 
286.0, 1.3693, 
285.0, 1.3601, 
284.0, 1.3518, 
283.0, 1.3430, 
282.0, 1.3359, 
281.0, 1.3288, 
280.0, 1.3255, 
279.0, 1.3318, 
278.0, 1.3512, 
277.0, 1.3374, 
276.0, 1.3052, 
275.0, 1.2813, 
274.0, 1.2656, 
273.0, 1.2566, 
272.0, 1.2525, 
271.0, 1.2504, 
270.0, 1.2457, 
269.0, 1.2369, 
268.0, 1.2309, 
267.0, 1.2276, 
266.0, 1.2331, 
265.0, 1.2435, 
264.0, 1.2557, 
263.0, 1.2689, 
262.0, 1.2909, 
261.0, 1.3089, 
260.0, 1.3295, 
259.0, 1.3570, 
258.0, 1.3852, 
257.0, 1.4137, 
256.0, 1.4420, 
255.0, 1.4797, 
254.0, 1.5079, 
253.0, 1.5428, 
252.0, 1.5805, 
251.0, 1.6128, 
250.0, 1.6514 
