Created as New Dataset, , 
nm, A, 
430.0, 0.1054, 
429.0, 0.1058, 
428.0, 0.1054, 
427.0, 0.1054, 
426.0, 0.1049, 
425.0, 0.1044, 
424.0, 0.1052, 
423.0, 0.1047, 
422.0, 0.1049, 
421.0, 0.1036, 
420.0, 0.1042, 
419.0, 0.1034, 
418.0, 0.1033, 
417.0, 0.1043, 
416.0, 0.1042, 
415.0, 0.1051, 
414.0, 0.1052, 
413.0, 0.1058, 
412.0, 0.1065, 
411.0, 0.1070, 
410.0, 0.1069, 
409.0, 0.1087, 
408.0, 0.1096, 
407.0, 0.1116, 
406.0, 0.1141, 
405.0, 0.1199, 
404.0, 0.1236, 
403.0, 0.1269, 
402.0, 0.1299, 
401.0, 0.1358, 
400.0, 0.1425, 
399.0, 0.1503, 
398.0, 0.1571, 
397.0, 0.1656, 
396.0, 0.1759, 
395.0, 0.1871, 
394.0, 0.1995, 
393.0, 0.2135, 
392.0, 0.2281, 
391.0, 0.2453, 
390.0, 0.2650, 
389.0, 0.2850, 
388.0, 0.3078, 
387.0, 0.3324, 
386.0, 0.3596, 
385.0, 0.3900, 
384.0, 0.4256, 
383.0, 0.4654, 
382.0, 0.5081, 
381.0, 0.5570, 
380.0, 0.6105, 
379.0, 0.6662, 
378.0, 0.7199, 
377.0, 0.7721, 
376.0, 0.8106, 
375.0, 0.8163, 
374.0, 0.7992, 
373.0, 0.7599, 
372.0, 0.7046, 
371.0, 0.6417, 
370.0, 0.5786, 
369.0, 0.5233, 
368.0, 0.4817, 
367.0, 0.4563, 
366.0, 0.4429, 
365.0, 0.4408, 
364.0, 0.4475, 
363.0, 0.4605, 
362.0, 0.4780, 
361.0, 0.4978, 
360.0, 0.5202, 
359.0, 0.5428, 
358.0, 0.5652, 
357.0, 0.5832, 
356.0, 0.5965, 
355.0, 0.6009, 
354.0, 0.5954, 
353.0, 0.5810, 
352.0, 0.5583, 
351.0, 0.5301, 
350.0, 0.4998, 
349.0, 0.4704, 
348.0, 0.4426, 
347.0, 0.4156, 
346.0, 0.3932, 
345.0, 0.3739, 
344.0, 0.3583, 
343.0, 0.3451, 
342.0, 0.3351, 
341.0, 0.3272, 
340.0, 0.3200, 
339.0, 0.3150, 
338.0, 0.3120, 
337.0, 0.3105, 
336.0, 0.3098, 
335.0, 0.3111, 
334.0, 0.3128, 
333.0, 0.3140, 
332.0, 0.3164, 
331.0, 0.3194, 
330.0, 0.3240, 
329.0, 0.3281, 
328.0, 0.3330, 
327.0, 0.3390, 
326.0, 0.3441, 
325.0, 0.3499, 
324.0, 0.3561, 
323.0, 0.3638, 
322.0, 0.3728, 
321.0, 0.3837, 
320.0, 0.3972, 
319.0, 0.4113, 
318.0, 0.4297, 
317.0, 0.4491, 
316.0, 0.4716, 
315.0, 0.4973, 
314.0, 0.5248, 
313.0, 0.5536, 
312.0, 0.5853, 
311.0, 0.6199, 
310.0, 0.6556, 
309.0, 0.6935, 
308.0, 0.7321, 
307.0, 0.7717, 
306.0, 0.8132, 
305.0, 0.8538, 
304.0, 0.8931, 
303.0, 0.9300, 
302.0, 0.9666, 
301.0, 1.0039, 
300.0, 1.0394, 
299.0, 1.0786, 
298.0, 1.1188, 
297.0, 1.1585, 
296.0, 1.2014, 
295.0, 1.2387, 
294.0, 1.2764, 
293.0, 1.3128, 
292.0, 1.3415, 
291.0, 1.3668, 
290.0, 1.3826, 
289.0, 1.3885, 
288.0, 1.3863, 
287.0, 1.3829, 
286.0, 1.3770, 
285.0, 1.3672, 
284.0, 1.3560, 
283.0, 1.3487, 
282.0, 1.3397, 
281.0, 1.3330, 
280.0, 1.3295, 
279.0, 1.3266, 
278.0, 1.3278, 
277.0, 1.3177, 
276.0, 1.2984, 
275.0, 1.2769, 
274.0, 1.2532, 
273.0, 1.2393, 
272.0, 1.2335, 
271.0, 1.2268, 
270.0, 1.2200, 
269.0, 1.2150, 
268.0, 1.2066, 
267.0, 1.2024, 
266.0, 1.2055, 
265.0, 1.2158, 
264.0, 1.2308, 
263.0, 1.2484, 
262.0, 1.2647, 
261.0, 1.2832, 
260.0, 1.3046, 
259.0, 1.3316, 
258.0, 1.3608, 
257.0, 1.3884, 
256.0, 1.4177, 
255.0, 1.4465, 
254.0, 1.4857, 
253.0, 1.5148, 
252.0, 1.5426, 
251.0, 1.5748, 
250.0, 1.6100 
