Created as New Dataset, , 
nm, A, 
430.0, 0.0847, 
429.0, 0.0853, 
428.0, 0.0854, 
427.0, 0.0848, 
426.0, 0.0837, 
425.0, 0.0845, 
424.0, 0.0847, 
423.0, 0.0844, 
422.0, 0.0828, 
421.0, 0.0814, 
420.0, 0.0821, 
419.0, 0.0825, 
418.0, 0.0825, 
417.0, 0.0838, 
416.0, 0.0836, 
415.0, 0.0836, 
414.0, 0.0839, 
413.0, 0.0850, 
412.0, 0.0857, 
411.0, 0.0876, 
410.0, 0.0871, 
409.0, 0.0885, 
408.0, 0.0892, 
407.0, 0.0917, 
406.0, 0.0940, 
405.0, 0.0969, 
404.0, 0.0997, 
403.0, 0.1034, 
402.0, 0.1086, 
401.0, 0.1150, 
400.0, 0.1205, 
399.0, 0.1273, 
398.0, 0.1344, 
397.0, 0.1421, 
396.0, 0.1513, 
395.0, 0.1617, 
394.0, 0.1723, 
393.0, 0.1848, 
392.0, 0.1985, 
391.0, 0.2133, 
390.0, 0.2308, 
389.0, 0.2488, 
388.0, 0.2688, 
387.0, 0.2912, 
386.0, 0.3164, 
385.0, 0.3440, 
384.0, 0.3754, 
383.0, 0.4104, 
382.0, 0.4507, 
381.0, 0.4970, 
380.0, 0.5485, 
379.0, 0.6051, 
378.0, 0.6634, 
377.0, 0.7222, 
376.0, 0.7716, 
375.0, 0.7916, 
374.0, 0.7852, 
373.0, 0.7542, 
372.0, 0.7021, 
371.0, 0.6377, 
370.0, 0.5698, 
369.0, 0.5090, 
368.0, 0.4606, 
367.0, 0.4274, 
366.0, 0.4092, 
365.0, 0.4044, 
364.0, 0.4104, 
363.0, 0.4227, 
362.0, 0.4410, 
361.0, 0.4619, 
360.0, 0.4842, 
359.0, 0.5086, 
358.0, 0.5307, 
357.0, 0.5479, 
356.0, 0.5609, 
355.0, 0.5682, 
354.0, 0.5665, 
353.0, 0.5540, 
352.0, 0.5340, 
351.0, 0.5082, 
350.0, 0.4790, 
349.0, 0.4490, 
348.0, 0.4193, 
347.0, 0.3929, 
346.0, 0.3693, 
345.0, 0.3490, 
344.0, 0.3326, 
343.0, 0.3188, 
342.0, 0.3074, 
341.0, 0.2986, 
340.0, 0.2919, 
339.0, 0.2872, 
338.0, 0.2851, 
337.0, 0.2841, 
336.0, 0.2842, 
335.0, 0.2858, 
334.0, 0.2886, 
333.0, 0.2916, 
332.0, 0.2963, 
331.0, 0.3020, 
330.0, 0.3062, 
329.0, 0.3110, 
328.0, 0.3172, 
327.0, 0.3232, 
326.0, 0.3296, 
325.0, 0.3364, 
324.0, 0.3418, 
323.0, 0.3476, 
322.0, 0.3555, 
321.0, 0.3647, 
320.0, 0.3758, 
319.0, 0.3890, 
318.0, 0.4056, 
317.0, 0.4227, 
316.0, 0.4435, 
315.0, 0.4669, 
314.0, 0.4925, 
313.0, 0.5190, 
312.0, 0.5476, 
311.0, 0.5798, 
310.0, 0.6128, 
309.0, 0.6475, 
308.0, 0.6851, 
307.0, 0.7242, 
306.0, 0.7640, 
305.0, 0.8015, 
304.0, 0.8380, 
303.0, 0.8731, 
302.0, 0.9051, 
301.0, 0.9390, 
300.0, 0.9730, 
299.0, 1.0074, 
298.0, 1.0440, 
297.0, 1.0830, 
296.0, 1.1248, 
295.0, 1.1656, 
294.0, 1.2069, 
293.0, 1.2476, 
292.0, 1.2877, 
291.0, 1.3207, 
290.0, 1.3475, 
289.0, 1.3723, 
288.0, 1.3807, 
287.0, 1.3834, 
286.0, 1.3780, 
285.0, 1.3666, 
284.0, 1.3564, 
283.0, 1.3474, 
282.0, 1.3387, 
281.0, 1.3340, 
280.0, 1.3287, 
279.0, 1.3255, 
278.0, 1.3237, 
277.0, 1.3132, 
276.0, 1.3006, 
275.0, 1.2791, 
274.0, 1.2548, 
273.0, 1.2375, 
272.0, 1.2257, 
271.0, 1.2185, 
270.0, 1.2095, 
269.0, 1.1991, 
268.0, 1.1894, 
267.0, 1.1863, 
266.0, 1.1902, 
265.0, 1.1986, 
264.0, 1.2101, 
263.0, 1.2260, 
262.0, 1.2418, 
261.0, 1.2609, 
260.0, 1.2809, 
259.0, 1.3004, 
258.0, 1.3269, 
257.0, 1.3575, 
256.0, 1.3856, 
255.0, 1.4158, 
254.0, 1.4447, 
253.0, 1.4743, 
252.0, 1.4986, 
251.0, 1.5311, 
250.0, 1.5655 
