Created as New Dataset, , 
nm, A, 
430.0, 0.0869, 
429.0, 0.0872, 
428.0, 0.0863, 
427.0, 0.0867, 
426.0, 0.0857, 
425.0, 0.0854, 
424.0, 0.0862, 
423.0, 0.0863, 
422.0, 0.0860, 
421.0, 0.0850, 
420.0, 0.0856, 
419.0, 0.0856, 
418.0, 0.0850, 
417.0, 0.0850, 
416.0, 0.0849, 
415.0, 0.0857, 
414.0, 0.0864, 
413.0, 0.0868, 
412.0, 0.0880, 
411.0, 0.0886, 
410.0, 0.0887, 
409.0, 0.0900, 
408.0, 0.0903, 
407.0, 0.0929, 
406.0, 0.0949, 
405.0, 0.0987, 
404.0, 0.1008, 
403.0, 0.1048, 
402.0, 0.1090, 
401.0, 0.1152, 
400.0, 0.1214, 
399.0, 0.1282, 
398.0, 0.1353, 
397.0, 0.1429, 
396.0, 0.1523, 
395.0, 0.1633, 
394.0, 0.1749, 
393.0, 0.1876, 
392.0, 0.2022, 
391.0, 0.2177, 
390.0, 0.2350, 
389.0, 0.2539, 
388.0, 0.2757, 
387.0, 0.2990, 
386.0, 0.3243, 
385.0, 0.3529, 
384.0, 0.3850, 
383.0, 0.4209, 
382.0, 0.4570, 
381.0, 0.4971, 
380.0, 0.5438, 
379.0, 0.5930, 
378.0, 0.6446, 
377.0, 0.6972, 
376.0, 0.7454, 
375.0, 0.7723, 
374.0, 0.7797, 
373.0, 0.7697, 
372.0, 0.7394, 
371.0, 0.6951, 
370.0, 0.6420, 
369.0, 0.5892, 
368.0, 0.5421, 
367.0, 0.5039, 
366.0, 0.4757, 
365.0, 0.4574, 
364.0, 0.4482, 
363.0, 0.4455, 
362.0, 0.4488, 
361.0, 0.4545, 
360.0, 0.4639, 
359.0, 0.4769, 
358.0, 0.4923, 
357.0, 0.5078, 
356.0, 0.5255, 
355.0, 0.5424, 
354.0, 0.5538, 
353.0, 0.5588, 
352.0, 0.5569, 
351.0, 0.5483, 
350.0, 0.5339, 
349.0, 0.5161, 
348.0, 0.4958, 
347.0, 0.4758, 
346.0, 0.4554, 
345.0, 0.4364, 
344.0, 0.4198, 
343.0, 0.4042, 
342.0, 0.3901, 
341.0, 0.3771, 
340.0, 0.3657, 
339.0, 0.3566, 
338.0, 0.3488, 
337.0, 0.3433, 
336.0, 0.3378, 
335.0, 0.3333, 
334.0, 0.3320, 
333.0, 0.3325, 
332.0, 0.3330, 
331.0, 0.3334, 
330.0, 0.3361, 
329.0, 0.3402, 
328.0, 0.3438, 
327.0, 0.3478, 
326.0, 0.3520, 
325.0, 0.3571, 
324.0, 0.3634, 
323.0, 0.3708, 
322.0, 0.3788, 
321.0, 0.3893, 
320.0, 0.4024, 
319.0, 0.4181, 
318.0, 0.4381, 
317.0, 0.4588, 
316.0, 0.4827, 
315.0, 0.5084, 
314.0, 0.5348, 
313.0, 0.5630, 
312.0, 0.5935, 
311.0, 0.6256, 
310.0, 0.6591, 
309.0, 0.6949, 
308.0, 0.7330, 
307.0, 0.7725, 
306.0, 0.8147, 
305.0, 0.8553, 
304.0, 0.8951, 
303.0, 0.9341, 
302.0, 0.9729, 
301.0, 1.0096, 
300.0, 1.0446, 
299.0, 1.0839, 
298.0, 1.1234, 
297.0, 1.1628, 
296.0, 1.2027, 
295.0, 1.2414, 
294.0, 1.2753, 
293.0, 1.3050, 
292.0, 1.3327, 
291.0, 1.3552, 
290.0, 1.3702, 
289.0, 1.3795, 
288.0, 1.3833, 
287.0, 1.3778, 
286.0, 1.3667, 
285.0, 1.3603, 
284.0, 1.3527, 
283.0, 1.3412, 
282.0, 1.3357, 
281.0, 1.3335, 
280.0, 1.3326, 
279.0, 1.3339, 
278.0, 1.3296, 
277.0, 1.3191, 
276.0, 1.3025, 
275.0, 1.2828, 
274.0, 1.2687, 
273.0, 1.2606, 
272.0, 1.2560, 
271.0, 1.2548, 
270.0, 1.2507, 
269.0, 1.2437, 
268.0, 1.2341, 
267.0, 1.2316, 
266.0, 1.2374, 
265.0, 1.2486, 
264.0, 1.2635, 
263.0, 1.2771, 
262.0, 1.2955, 
261.0, 1.3150, 
260.0, 1.3386, 
259.0, 1.3653, 
258.0, 1.3910, 
257.0, 1.4236, 
256.0, 1.4530, 
255.0, 1.4895, 
254.0, 1.5297, 
253.0, 1.5604, 
252.0, 1.5943, 
251.0, 1.6242, 
250.0, 1.6553 
