Created as New Dataset, , 
nm, A, 
430.0, 0.0839, 
429.0, 0.0842, 
428.0, 0.0838, 
427.0, 0.0835, 
426.0, 0.0835, 
425.0, 0.0841, 
424.0, 0.0820, 
423.0, 0.0830, 
422.0, 0.0821, 
421.0, 0.0813, 
420.0, 0.0814, 
419.0, 0.0811, 
418.0, 0.0808, 
417.0, 0.0811, 
416.0, 0.0818, 
415.0, 0.0822, 
414.0, 0.0827, 
413.0, 0.0827, 
412.0, 0.0834, 
411.0, 0.0842, 
410.0, 0.0846, 
409.0, 0.0852, 
408.0, 0.0852, 
407.0, 0.0879, 
406.0, 0.0901, 
405.0, 0.0944, 
404.0, 0.0972, 
403.0, 0.1025, 
402.0, 0.1070, 
401.0, 0.1136, 
400.0, 0.1194, 
399.0, 0.1242, 
398.0, 0.1289, 
397.0, 0.1369, 
396.0, 0.1466, 
395.0, 0.1569, 
394.0, 0.1678, 
393.0, 0.1802, 
392.0, 0.1931, 
391.0, 0.2088, 
390.0, 0.2259, 
389.0, 0.2441, 
388.0, 0.2646, 
387.0, 0.2876, 
386.0, 0.3126, 
385.0, 0.3404, 
384.0, 0.3720, 
383.0, 0.4048, 
382.0, 0.4423, 
381.0, 0.4840, 
380.0, 0.5294, 
379.0, 0.5790, 
378.0, 0.6306, 
377.0, 0.6817, 
376.0, 0.7305, 
375.0, 0.7622, 
374.0, 0.7736, 
373.0, 0.7675, 
372.0, 0.7441, 
371.0, 0.7056, 
370.0, 0.6571, 
369.0, 0.6064, 
368.0, 0.5590, 
367.0, 0.5208, 
366.0, 0.4901, 
365.0, 0.4685, 
364.0, 0.4568, 
363.0, 0.4503, 
362.0, 0.4488, 
361.0, 0.4495, 
360.0, 0.4549, 
359.0, 0.4642, 
358.0, 0.4773, 
357.0, 0.4911, 
356.0, 0.5075, 
355.0, 0.5259, 
354.0, 0.5410, 
353.0, 0.5509, 
352.0, 0.5540, 
351.0, 0.5506, 
350.0, 0.5408, 
349.0, 0.5274, 
348.0, 0.5113, 
347.0, 0.4938, 
346.0, 0.4762, 
345.0, 0.4589, 
344.0, 0.4423, 
343.0, 0.4265, 
342.0, 0.4124, 
341.0, 0.3987, 
340.0, 0.3844, 
339.0, 0.3733, 
338.0, 0.3651, 
337.0, 0.3579, 
336.0, 0.3514, 
335.0, 0.3470, 
334.0, 0.3444, 
333.0, 0.3423, 
332.0, 0.3414, 
331.0, 0.3419, 
330.0, 0.3435, 
329.0, 0.3457, 
328.0, 0.3492, 
327.0, 0.3531, 
326.0, 0.3567, 
325.0, 0.3610, 
324.0, 0.3661, 
323.0, 0.3727, 
322.0, 0.3810, 
321.0, 0.3921, 
320.0, 0.4055, 
319.0, 0.4221, 
318.0, 0.4428, 
317.0, 0.4633, 
316.0, 0.4872, 
315.0, 0.5119, 
314.0, 0.5381, 
313.0, 0.5663, 
312.0, 0.5964, 
311.0, 0.6276, 
310.0, 0.6601, 
309.0, 0.6951, 
308.0, 0.7329, 
307.0, 0.7730, 
306.0, 0.8124, 
305.0, 0.8517, 
304.0, 0.8918, 
303.0, 0.9321, 
302.0, 0.9720, 
301.0, 1.0112, 
300.0, 1.0506, 
299.0, 1.0895, 
298.0, 1.1259, 
297.0, 1.1627, 
296.0, 1.2021, 
295.0, 1.2425, 
294.0, 1.2764, 
293.0, 1.2966, 
292.0, 1.3238, 
291.0, 1.3529, 
290.0, 1.3700, 
289.0, 1.3829, 
288.0, 1.3812, 
287.0, 1.3753, 
286.0, 1.3656, 
285.0, 1.3536, 
284.0, 1.3446, 
283.0, 1.3349, 
282.0, 1.3287, 
281.0, 1.3281, 
280.0, 1.3276, 
279.0, 1.3280, 
278.0, 1.3263, 
277.0, 1.3156, 
276.0, 1.3006, 
275.0, 1.2857, 
274.0, 1.2739, 
273.0, 1.2661, 
272.0, 1.2672, 
271.0, 1.2670, 
270.0, 1.2609, 
269.0, 1.2532, 
268.0, 1.2452, 
267.0, 1.2435, 
266.0, 1.2532, 
265.0, 1.2634, 
264.0, 1.2741, 
263.0, 1.2888, 
262.0, 1.3054, 
261.0, 1.3310, 
260.0, 1.3520, 
259.0, 1.3812, 
258.0, 1.4120, 
257.0, 1.4423, 
256.0, 1.4722, 
255.0, 1.5035, 
254.0, 1.5398, 
253.0, 1.5716, 
252.0, 1.6002, 
251.0, 1.6448, 
250.0, 1.6814 
