Created as New Dataset, , 
nm, A, 
430.0, 0.0846, 
429.0, 0.0839, 
428.0, 0.0848, 
427.0, 0.0850, 
426.0, 0.0835, 
425.0, 0.0842, 
424.0, 0.0839, 
423.0, 0.0836, 
422.0, 0.0833, 
421.0, 0.0823, 
420.0, 0.0827, 
419.0, 0.0828, 
418.0, 0.0824, 
417.0, 0.0829, 
416.0, 0.0834, 
415.0, 0.0840, 
414.0, 0.0839, 
413.0, 0.0851, 
412.0, 0.0861, 
411.0, 0.0871, 
410.0, 0.0871, 
409.0, 0.0890, 
408.0, 0.0889, 
407.0, 0.0916, 
406.0, 0.0935, 
405.0, 0.0973, 
404.0, 0.1000, 
403.0, 0.1041, 
402.0, 0.1086, 
401.0, 0.1135, 
400.0, 0.1193, 
399.0, 0.1266, 
398.0, 0.1327, 
397.0, 0.1400, 
396.0, 0.1488, 
395.0, 0.1577, 
394.0, 0.1679, 
393.0, 0.1793, 
392.0, 0.1915, 
391.0, 0.2049, 
390.0, 0.2199, 
389.0, 0.2353, 
388.0, 0.2525, 
387.0, 0.2721, 
386.0, 0.2939, 
385.0, 0.3182, 
384.0, 0.3463, 
383.0, 0.3780, 
382.0, 0.4136, 
381.0, 0.4551, 
380.0, 0.5032, 
379.0, 0.5546, 
378.0, 0.6090, 
377.0, 0.6647, 
376.0, 0.7120, 
375.0, 0.7387, 
374.0, 0.7410, 
373.0, 0.7212, 
372.0, 0.6806, 
371.0, 0.6244, 
370.0, 0.5623, 
369.0, 0.5028, 
368.0, 0.4536, 
367.0, 0.4176, 
366.0, 0.3968, 
365.0, 0.3893, 
364.0, 0.3914, 
363.0, 0.4007, 
362.0, 0.4153, 
361.0, 0.4316, 
360.0, 0.4500, 
359.0, 0.4692, 
358.0, 0.4882, 
357.0, 0.5037, 
356.0, 0.5153, 
355.0, 0.5247, 
354.0, 0.5264, 
353.0, 0.5209, 
352.0, 0.5071, 
351.0, 0.4875, 
350.0, 0.4653, 
349.0, 0.4412, 
348.0, 0.4171, 
347.0, 0.3940, 
346.0, 0.3723, 
345.0, 0.3524, 
344.0, 0.3352, 
343.0, 0.3205, 
342.0, 0.3095, 
341.0, 0.3004, 
340.0, 0.2926, 
339.0, 0.2876, 
338.0, 0.2861, 
337.0, 0.2840, 
336.0, 0.2834, 
335.0, 0.2852, 
334.0, 0.2889, 
333.0, 0.2929, 
332.0, 0.2971, 
331.0, 0.3018, 
330.0, 0.3073, 
329.0, 0.3134, 
328.0, 0.3196, 
327.0, 0.3262, 
326.0, 0.3327, 
325.0, 0.3386, 
324.0, 0.3436, 
323.0, 0.3493, 
322.0, 0.3561, 
321.0, 0.3641, 
320.0, 0.3731, 
319.0, 0.3844, 
318.0, 0.4005, 
317.0, 0.4166, 
316.0, 0.4348, 
315.0, 0.4563, 
314.0, 0.4797, 
313.0, 0.5041, 
312.0, 0.5300, 
311.0, 0.5589, 
310.0, 0.5905, 
309.0, 0.6233, 
308.0, 0.6571, 
307.0, 0.6919, 
306.0, 0.7270, 
305.0, 0.7605, 
304.0, 0.7917, 
303.0, 0.8226, 
302.0, 0.8538, 
301.0, 0.8848, 
300.0, 0.9155, 
299.0, 0.9477, 
298.0, 0.9799, 
297.0, 1.0155, 
296.0, 1.0552, 
295.0, 1.0945, 
294.0, 1.1346, 
293.0, 1.1806, 
292.0, 1.2258, 
291.0, 1.2670, 
290.0, 1.3042, 
289.0, 1.3329, 
288.0, 1.3490, 
287.0, 1.3560, 
286.0, 1.3589, 
285.0, 1.3565, 
284.0, 1.3513, 
283.0, 1.3428, 
282.0, 1.3322, 
281.0, 1.3249, 
280.0, 1.3208, 
279.0, 1.3171, 
278.0, 1.3172, 
277.0, 1.3117, 
276.0, 1.2974, 
275.0, 1.2734, 
274.0, 1.2527, 
273.0, 1.2385, 
272.0, 1.2273, 
271.0, 1.2243, 
270.0, 1.2187, 
269.0, 1.2095, 
268.0, 1.2017, 
267.0, 1.1982, 
266.0, 1.1993, 
265.0, 1.2091, 
264.0, 1.2193, 
263.0, 1.2301, 
262.0, 1.2483, 
261.0, 1.2629, 
260.0, 1.2805, 
259.0, 1.3009, 
258.0, 1.3228, 
257.0, 1.3468, 
256.0, 1.3708, 
255.0, 1.3975, 
254.0, 1.4180, 
253.0, 1.4427, 
252.0, 1.4679, 
251.0, 1.4887, 
250.0, 1.5151 
