Created as New Dataset, , 
nm, A, 
430.0, 0.0936, 
429.0, 0.0939, 
428.0, 0.0937, 
427.0, 0.0929, 
426.0, 0.0928, 
425.0, 0.0934, 
424.0, 0.0929, 
423.0, 0.0928, 
422.0, 0.0924, 
421.0, 0.0911, 
420.0, 0.0914, 
419.0, 0.0909, 
418.0, 0.0915, 
417.0, 0.0920, 
416.0, 0.0929, 
415.0, 0.0935, 
414.0, 0.0932, 
413.0, 0.0943, 
412.0, 0.0957, 
411.0, 0.0958, 
410.0, 0.0959, 
409.0, 0.0969, 
408.0, 0.0984, 
407.0, 0.1004, 
406.0, 0.1030, 
405.0, 0.1065, 
404.0, 0.1094, 
403.0, 0.1137, 
402.0, 0.1190, 
401.0, 0.1246, 
400.0, 0.1307, 
399.0, 0.1382, 
398.0, 0.1454, 
397.0, 0.1542, 
396.0, 0.1645, 
395.0, 0.1743, 
394.0, 0.1865, 
393.0, 0.2002, 
392.0, 0.2146, 
391.0, 0.2309, 
390.0, 0.2501, 
389.0, 0.2699, 
388.0, 0.2910, 
387.0, 0.3145, 
386.0, 0.3416, 
385.0, 0.3722, 
384.0, 0.4059, 
383.0, 0.4430, 
382.0, 0.4848, 
381.0, 0.5317, 
380.0, 0.5824, 
379.0, 0.6357, 
378.0, 0.6904, 
377.0, 0.7474, 
376.0, 0.7959, 
375.0, 0.8134, 
374.0, 0.7988, 
373.0, 0.7694, 
372.0, 0.7242, 
371.0, 0.6658, 
370.0, 0.6037, 
369.0, 0.5468, 
368.0, 0.5009, 
367.0, 0.4693, 
366.0, 0.4483, 
365.0, 0.4395, 
364.0, 0.4410, 
363.0, 0.4484, 
362.0, 0.4608, 
361.0, 0.4756, 
360.0, 0.4942, 
359.0, 0.5144, 
358.0, 0.5366, 
357.0, 0.5562, 
356.0, 0.5719, 
355.0, 0.5837, 
354.0, 0.5862, 
353.0, 0.5804, 
352.0, 0.5656, 
351.0, 0.5432, 
350.0, 0.5173, 
349.0, 0.4894, 
348.0, 0.4624, 
347.0, 0.4373, 
346.0, 0.4145, 
345.0, 0.3935, 
344.0, 0.3771, 
343.0, 0.3627, 
342.0, 0.3510, 
341.0, 0.3405, 
340.0, 0.3314, 
339.0, 0.3252, 
338.0, 0.3208, 
337.0, 0.3172, 
336.0, 0.3150, 
335.0, 0.3141, 
334.0, 0.3151, 
333.0, 0.3173, 
332.0, 0.3190, 
331.0, 0.3212, 
330.0, 0.3240, 
329.0, 0.3280, 
328.0, 0.3330, 
327.0, 0.3386, 
326.0, 0.3449, 
325.0, 0.3501, 
324.0, 0.3544, 
323.0, 0.3599, 
322.0, 0.3674, 
321.0, 0.3785, 
320.0, 0.3931, 
319.0, 0.4105, 
318.0, 0.4310, 
317.0, 0.4499, 
316.0, 0.4721, 
315.0, 0.4970, 
314.0, 0.5252, 
313.0, 0.5540, 
312.0, 0.5845, 
311.0, 0.6186, 
310.0, 0.6548, 
309.0, 0.6925, 
308.0, 0.7319, 
307.0, 0.7716, 
306.0, 0.8131, 
305.0, 0.8553, 
304.0, 0.8947, 
303.0, 0.9336, 
302.0, 0.9721, 
301.0, 1.0097, 
300.0, 1.0479, 
299.0, 1.0856, 
298.0, 1.1238, 
297.0, 1.1643, 
296.0, 1.2069, 
295.0, 1.2446, 
294.0, 1.2822, 
293.0, 1.3180, 
292.0, 1.3484, 
291.0, 1.3664, 
290.0, 1.3832, 
289.0, 1.3883, 
288.0, 1.3864, 
287.0, 1.3818, 
286.0, 1.3697, 
285.0, 1.3635, 
284.0, 1.3556, 
283.0, 1.3461, 
282.0, 1.3404, 
281.0, 1.3339, 
280.0, 1.3332, 
279.0, 1.3337, 
278.0, 1.3320, 
277.0, 1.3214, 
276.0, 1.3024, 
275.0, 1.2814, 
274.0, 1.2634, 
273.0, 1.2508, 
272.0, 1.2425, 
271.0, 1.2405, 
270.0, 1.2342, 
269.0, 1.2263, 
268.0, 1.2197, 
267.0, 1.2195, 
266.0, 1.2201, 
265.0, 1.2286, 
264.0, 1.2450, 
263.0, 1.2615, 
262.0, 1.2790, 
261.0, 1.3002, 
260.0, 1.3217, 
259.0, 1.3488, 
258.0, 1.3730, 
257.0, 1.3985, 
256.0, 1.4278, 
255.0, 1.4645, 
254.0, 1.4913, 
253.0, 1.5271, 
252.0, 1.5601, 
251.0, 1.5876, 
250.0, 1.6224 
