Created as New Dataset, , 
nm, A, 
430.0, 0.0918, 
429.0, 0.0927, 
428.0, 0.0922, 
427.0, 0.0915, 
426.0, 0.0909, 
425.0, 0.0925, 
424.0, 0.0921, 
423.0, 0.0920, 
422.0, 0.0916, 
421.0, 0.0904, 
420.0, 0.0912, 
419.0, 0.0910, 
418.0, 0.0912, 
417.0, 0.0915, 
416.0, 0.0918, 
415.0, 0.0925, 
414.0, 0.0939, 
413.0, 0.0942, 
412.0, 0.0951, 
411.0, 0.0958, 
410.0, 0.0958, 
409.0, 0.0965, 
408.0, 0.0971, 
407.0, 0.0991, 
406.0, 0.1007, 
405.0, 0.1052, 
404.0, 0.1091, 
403.0, 0.1138, 
402.0, 0.1184, 
401.0, 0.1249, 
400.0, 0.1311, 
399.0, 0.1381, 
398.0, 0.1447, 
397.0, 0.1523, 
396.0, 0.1624, 
395.0, 0.1740, 
394.0, 0.1851, 
393.0, 0.1986, 
392.0, 0.2125, 
391.0, 0.2294, 
390.0, 0.2471, 
389.0, 0.2665, 
388.0, 0.2885, 
387.0, 0.3118, 
386.0, 0.3380, 
385.0, 0.3678, 
384.0, 0.4006, 
383.0, 0.4365, 
382.0, 0.4756, 
381.0, 0.5201, 
380.0, 0.5693, 
379.0, 0.6214, 
378.0, 0.6739, 
377.0, 0.7261, 
376.0, 0.7720, 
375.0, 0.7925, 
374.0, 0.7898, 
373.0, 0.7686, 
372.0, 0.7296, 
371.0, 0.6779, 
370.0, 0.6185, 
369.0, 0.5640, 
368.0, 0.5185, 
367.0, 0.4836, 
366.0, 0.4599, 
365.0, 0.4481, 
364.0, 0.4454, 
363.0, 0.4485, 
362.0, 0.4567, 
361.0, 0.4682, 
360.0, 0.4827, 
359.0, 0.4992, 
358.0, 0.5176, 
357.0, 0.5354, 
356.0, 0.5516, 
355.0, 0.5656, 
354.0, 0.5720, 
353.0, 0.5705, 
352.0, 0.5600, 
351.0, 0.5433, 
350.0, 0.5229, 
349.0, 0.4998, 
348.0, 0.4762, 
347.0, 0.4536, 
346.0, 0.4324, 
345.0, 0.4130, 
344.0, 0.3968, 
343.0, 0.3820, 
342.0, 0.3688, 
341.0, 0.3578, 
340.0, 0.3475, 
339.0, 0.3387, 
338.0, 0.3332, 
337.0, 0.3295, 
336.0, 0.3264, 
335.0, 0.3243, 
334.0, 0.3234, 
333.0, 0.3237, 
332.0, 0.3252, 
331.0, 0.3270, 
330.0, 0.3302, 
329.0, 0.3345, 
328.0, 0.3393, 
327.0, 0.3437, 
326.0, 0.3495, 
325.0, 0.3567, 
324.0, 0.3619, 
323.0, 0.3683, 
322.0, 0.3769, 
321.0, 0.3869, 
320.0, 0.3993, 
319.0, 0.4161, 
318.0, 0.4376, 
317.0, 0.4578, 
316.0, 0.4809, 
315.0, 0.5052, 
314.0, 0.5320, 
313.0, 0.5615, 
312.0, 0.5921, 
311.0, 0.6248, 
310.0, 0.6591, 
309.0, 0.6958, 
308.0, 0.7340, 
307.0, 0.7739, 
306.0, 0.8158, 
305.0, 0.8563, 
304.0, 0.8950, 
303.0, 0.9331, 
302.0, 0.9714, 
301.0, 1.0101, 
300.0, 1.0482, 
299.0, 1.0853, 
298.0, 1.1233, 
297.0, 1.1625, 
296.0, 1.2032, 
295.0, 1.2435, 
294.0, 1.2796, 
293.0, 1.3093, 
292.0, 1.3378, 
291.0, 1.3587, 
290.0, 1.3715, 
289.0, 1.3793, 
288.0, 1.3783, 
287.0, 1.3724, 
286.0, 1.3663, 
285.0, 1.3596, 
284.0, 1.3482, 
283.0, 1.3391, 
282.0, 1.3363, 
281.0, 1.3275, 
280.0, 1.3272, 
279.0, 1.3321, 
278.0, 1.3283, 
277.0, 1.3150, 
276.0, 1.2976, 
275.0, 1.2795, 
274.0, 1.2651, 
273.0, 1.2543, 
272.0, 1.2482, 
271.0, 1.2433, 
270.0, 1.2385, 
269.0, 1.2318, 
268.0, 1.2252, 
267.0, 1.2222, 
266.0, 1.2263, 
265.0, 1.2352, 
264.0, 1.2520, 
263.0, 1.2693, 
262.0, 1.2864, 
261.0, 1.3068, 
260.0, 1.3298, 
259.0, 1.3536, 
258.0, 1.3800, 
257.0, 1.4089, 
256.0, 1.4392, 
255.0, 1.4698, 
254.0, 1.5057, 
253.0, 1.5360, 
252.0, 1.5660, 
251.0, 1.6099, 
250.0, 1.6378 
