Created as New Dataset, , 
nm, A, 
430.0, 0.0931, 
429.0, 0.0942, 
428.0, 0.0944, 
427.0, 0.0932, 
426.0, 0.0930, 
425.0, 0.0935, 
424.0, 0.0931, 
423.0, 0.0942, 
422.0, 0.0936, 
421.0, 0.0924, 
420.0, 0.0931, 
419.0, 0.0923, 
418.0, 0.0932, 
417.0, 0.0934, 
416.0, 0.0935, 
415.0, 0.0934, 
414.0, 0.0944, 
413.0, 0.0945, 
412.0, 0.0955, 
411.0, 0.0969, 
410.0, 0.0968, 
409.0, 0.0979, 
408.0, 0.0991, 
407.0, 0.1020, 
406.0, 0.1042, 
405.0, 0.1074, 
404.0, 0.1112, 
403.0, 0.1150, 
402.0, 0.1198, 
401.0, 0.1263, 
400.0, 0.1325, 
399.0, 0.1398, 
398.0, 0.1477, 
397.0, 0.1561, 
396.0, 0.1649, 
395.0, 0.1756, 
394.0, 0.1886, 
393.0, 0.2016, 
392.0, 0.2160, 
391.0, 0.2315, 
390.0, 0.2503, 
389.0, 0.2708, 
388.0, 0.2919, 
387.0, 0.3163, 
386.0, 0.3434, 
385.0, 0.3731, 
384.0, 0.4062, 
383.0, 0.4425, 
382.0, 0.4829, 
381.0, 0.5275, 
380.0, 0.5766, 
379.0, 0.6286, 
378.0, 0.6816, 
377.0, 0.7334, 
376.0, 0.7754, 
375.0, 0.7945, 
374.0, 0.7902, 
373.0, 0.7646, 
372.0, 0.7228, 
371.0, 0.6690, 
370.0, 0.6103, 
369.0, 0.5562, 
368.0, 0.5112, 
367.0, 0.4790, 
366.0, 0.4572, 
365.0, 0.4467, 
364.0, 0.4454, 
363.0, 0.4503, 
362.0, 0.4603, 
361.0, 0.4719, 
360.0, 0.4867, 
359.0, 0.5047, 
358.0, 0.5248, 
357.0, 0.5428, 
356.0, 0.5580, 
355.0, 0.5702, 
354.0, 0.5748, 
353.0, 0.5712, 
352.0, 0.5594, 
351.0, 0.5413, 
350.0, 0.5193, 
349.0, 0.4951, 
348.0, 0.4708, 
347.0, 0.4481, 
346.0, 0.4260, 
345.0, 0.4074, 
344.0, 0.3906, 
343.0, 0.3758, 
342.0, 0.3634, 
341.0, 0.3523, 
340.0, 0.3430, 
339.0, 0.3361, 
338.0, 0.3315, 
337.0, 0.3276, 
336.0, 0.3248, 
335.0, 0.3232, 
334.0, 0.3236, 
333.0, 0.3247, 
332.0, 0.3252, 
331.0, 0.3274, 
330.0, 0.3310, 
329.0, 0.3343, 
328.0, 0.3391, 
327.0, 0.3436, 
326.0, 0.3490, 
325.0, 0.3553, 
324.0, 0.3600, 
323.0, 0.3679, 
322.0, 0.3770, 
321.0, 0.3866, 
320.0, 0.4001, 
319.0, 0.4159, 
318.0, 0.4351, 
317.0, 0.4547, 
316.0, 0.4775, 
315.0, 0.5033, 
314.0, 0.5315, 
313.0, 0.5607, 
312.0, 0.5918, 
311.0, 0.6242, 
310.0, 0.6595, 
309.0, 0.6969, 
308.0, 0.7349, 
307.0, 0.7751, 
306.0, 0.8152, 
305.0, 0.8562, 
304.0, 0.8969, 
303.0, 0.9347, 
302.0, 0.9711, 
301.0, 1.0078, 
300.0, 1.0459, 
299.0, 1.0842, 
298.0, 1.1248, 
297.0, 1.1663, 
296.0, 1.2046, 
295.0, 1.2440, 
294.0, 1.2827, 
293.0, 1.3143, 
292.0, 1.3394, 
291.0, 1.3605, 
290.0, 1.3769, 
289.0, 1.3809, 
288.0, 1.3801, 
287.0, 1.3727, 
286.0, 1.3652, 
285.0, 1.3612, 
284.0, 1.3505, 
283.0, 1.3423, 
282.0, 1.3369, 
281.0, 1.3306, 
280.0, 1.3300, 
279.0, 1.3293, 
278.0, 1.3255, 
277.0, 1.3154, 
276.0, 1.2994, 
275.0, 1.2791, 
274.0, 1.2620, 
273.0, 1.2510, 
272.0, 1.2477, 
271.0, 1.2450, 
270.0, 1.2373, 
269.0, 1.2298, 
268.0, 1.2223, 
267.0, 1.2193, 
266.0, 1.2257, 
265.0, 1.2368, 
264.0, 1.2484, 
263.0, 1.2644, 
262.0, 1.2827, 
261.0, 1.3025, 
260.0, 1.3250, 
259.0, 1.3513, 
258.0, 1.3757, 
257.0, 1.4043, 
256.0, 1.4393, 
255.0, 1.4731, 
254.0, 1.5035, 
253.0, 1.5340, 
252.0, 1.5654, 
251.0, 1.5981, 
250.0, 1.6276 
