Created as New Dataset, , 
nm, A, 
430.0, 0.1008, 
429.0, 0.1004, 
428.0, 0.1016, 
427.0, 0.1015, 
426.0, 0.1001, 
425.0, 0.1016, 
424.0, 0.1013, 
423.0, 0.1014, 
422.0, 0.1005, 
421.0, 0.1002, 
420.0, 0.1011, 
419.0, 0.1005, 
418.0, 0.1006, 
417.0, 0.0999, 
416.0, 0.1007, 
415.0, 0.1008, 
414.0, 0.1008, 
413.0, 0.1020, 
412.0, 0.1034, 
411.0, 0.1044, 
410.0, 0.1044, 
409.0, 0.1055, 
408.0, 0.1064, 
407.0, 0.1086, 
406.0, 0.1108, 
405.0, 0.1150, 
404.0, 0.1176, 
403.0, 0.1214, 
402.0, 0.1257, 
401.0, 0.1316, 
400.0, 0.1388, 
399.0, 0.1463, 
398.0, 0.1528, 
397.0, 0.1613, 
396.0, 0.1719, 
395.0, 0.1833, 
394.0, 0.1958, 
393.0, 0.2097, 
392.0, 0.2244, 
391.0, 0.2405, 
390.0, 0.2605, 
389.0, 0.2806, 
388.0, 0.3024, 
387.0, 0.3271, 
386.0, 0.3551, 
385.0, 0.3867, 
384.0, 0.4209, 
383.0, 0.4594, 
382.0, 0.5030, 
381.0, 0.5511, 
380.0, 0.6042, 
379.0, 0.6594, 
378.0, 0.7147, 
377.0, 0.7669, 
376.0, 0.8073, 
375.0, 0.8163, 
374.0, 0.7991, 
373.0, 0.7616, 
372.0, 0.7077, 
371.0, 0.6452, 
370.0, 0.5823, 
369.0, 0.5260, 
368.0, 0.4838, 
367.0, 0.4562, 
366.0, 0.4422, 
365.0, 0.4382, 
364.0, 0.4441, 
363.0, 0.4565, 
362.0, 0.4738, 
361.0, 0.4932, 
360.0, 0.5143, 
359.0, 0.5372, 
358.0, 0.5589, 
357.0, 0.5775, 
356.0, 0.5906, 
355.0, 0.5966, 
354.0, 0.5935, 
353.0, 0.5812, 
352.0, 0.5598, 
351.0, 0.5337, 
350.0, 0.5037, 
349.0, 0.4739, 
348.0, 0.4455, 
347.0, 0.4188, 
346.0, 0.3958, 
345.0, 0.3761, 
344.0, 0.3590, 
343.0, 0.3461, 
342.0, 0.3369, 
341.0, 0.3275, 
340.0, 0.3191, 
339.0, 0.3146, 
338.0, 0.3119, 
337.0, 0.3090, 
336.0, 0.3082, 
335.0, 0.3089, 
334.0, 0.3105, 
333.0, 0.3119, 
332.0, 0.3140, 
331.0, 0.3167, 
330.0, 0.3207, 
329.0, 0.3260, 
328.0, 0.3310, 
327.0, 0.3355, 
326.0, 0.3409, 
325.0, 0.3471, 
324.0, 0.3532, 
323.0, 0.3606, 
322.0, 0.3703, 
321.0, 0.3804, 
320.0, 0.3931, 
319.0, 0.4078, 
318.0, 0.4267, 
317.0, 0.4461, 
316.0, 0.4699, 
315.0, 0.4958, 
314.0, 0.5226, 
313.0, 0.5519, 
312.0, 0.5833, 
311.0, 0.6170, 
310.0, 0.6533, 
309.0, 0.6917, 
308.0, 0.7306, 
307.0, 0.7705, 
306.0, 0.8129, 
305.0, 0.8525, 
304.0, 0.8904, 
303.0, 0.9289, 
302.0, 0.9677, 
301.0, 1.0047, 
300.0, 1.0404, 
299.0, 1.0780, 
298.0, 1.1158, 
297.0, 1.1565, 
296.0, 1.1999, 
295.0, 1.2417, 
294.0, 1.2783, 
293.0, 1.3109, 
292.0, 1.3431, 
291.0, 1.3665, 
290.0, 1.3805, 
289.0, 1.3890, 
288.0, 1.3923, 
287.0, 1.3848, 
286.0, 1.3745, 
285.0, 1.3673, 
284.0, 1.3558, 
283.0, 1.3430, 
282.0, 1.3369, 
281.0, 1.3336, 
280.0, 1.3320, 
279.0, 1.3318, 
278.0, 1.3286, 
277.0, 1.3157, 
276.0, 1.2974, 
275.0, 1.2735, 
274.0, 1.2566, 
273.0, 1.2439, 
272.0, 1.2325, 
271.0, 1.2306, 
270.0, 1.2256, 
269.0, 1.2178, 
268.0, 1.2076, 
267.0, 1.2055, 
266.0, 1.2098, 
265.0, 1.2155, 
264.0, 1.2295, 
263.0, 1.2468, 
262.0, 1.2665, 
261.0, 1.2872, 
260.0, 1.3083, 
259.0, 1.3317, 
258.0, 1.3561, 
257.0, 1.3876, 
256.0, 1.4244, 
255.0, 1.4587, 
254.0, 1.4860, 
253.0, 1.5206, 
252.0, 1.5489, 
251.0, 1.5711, 
250.0, 1.6087 
