Created as New Dataset, , 
nm, A, 
430.0, 0.0813, 
429.0, 0.0823, 
428.0, 0.0822, 
427.0, 0.0830, 
426.0, 0.0826, 
425.0, 0.0824, 
424.0, 0.0810, 
423.0, 0.0817, 
422.0, 0.0816, 
421.0, 0.0798, 
420.0, 0.0799, 
419.0, 0.0789, 
418.0, 0.0785, 
417.0, 0.0789, 
416.0, 0.0794, 
415.0, 0.0802, 
414.0, 0.0797, 
413.0, 0.0801, 
412.0, 0.0812, 
411.0, 0.0814, 
410.0, 0.0838, 
409.0, 0.0855, 
408.0, 0.0876, 
407.0, 0.0903, 
406.0, 0.0908, 
405.0, 0.0945, 
404.0, 0.0972, 
403.0, 0.1000, 
402.0, 0.1045, 
401.0, 0.1100, 
400.0, 0.1150, 
399.0, 0.1206, 
398.0, 0.1269, 
397.0, 0.1341, 
396.0, 0.1419, 
395.0, 0.1512, 
394.0, 0.1628, 
393.0, 0.1749, 
392.0, 0.1870, 
391.0, 0.2001, 
390.0, 0.2155, 
389.0, 0.2331, 
388.0, 0.2521, 
387.0, 0.2732, 
386.0, 0.2962, 
385.0, 0.3234, 
384.0, 0.3541, 
383.0, 0.3859, 
382.0, 0.4217, 
381.0, 0.4621, 
380.0, 0.5074, 
379.0, 0.5548, 
378.0, 0.6067, 
377.0, 0.6609, 
376.0, 0.7135, 
375.0, 0.7530, 
374.0, 0.7736, 
373.0, 0.7780, 
372.0, 0.7641, 
371.0, 0.7317, 
370.0, 0.6850, 
369.0, 0.6339, 
368.0, 0.5859, 
367.0, 0.5435, 
366.0, 0.5078, 
365.0, 0.4816, 
364.0, 0.4640, 
363.0, 0.4535, 
362.0, 0.4479, 
361.0, 0.4455, 
360.0, 0.4473, 
359.0, 0.4536, 
358.0, 0.4639, 
357.0, 0.4770, 
356.0, 0.4949, 
355.0, 0.5144, 
354.0, 0.5330, 
353.0, 0.5471, 
352.0, 0.5554, 
351.0, 0.5562, 
350.0, 0.5497, 
349.0, 0.5389, 
348.0, 0.5251, 
347.0, 0.5092, 
346.0, 0.4914, 
345.0, 0.4729, 
344.0, 0.4555, 
343.0, 0.4395, 
342.0, 0.4245, 
341.0, 0.4096, 
340.0, 0.3957, 
339.0, 0.3838, 
338.0, 0.3737, 
337.0, 0.3649, 
336.0, 0.3582, 
335.0, 0.3515, 
334.0, 0.3477, 
333.0, 0.3459, 
332.0, 0.3445, 
331.0, 0.3439, 
330.0, 0.3445, 
329.0, 0.3474, 
328.0, 0.3510, 
327.0, 0.3540, 
326.0, 0.3589, 
325.0, 0.3635, 
324.0, 0.3668, 
323.0, 0.3737, 
322.0, 0.3834, 
321.0, 0.3941, 
320.0, 0.4076, 
319.0, 0.4233, 
318.0, 0.4435, 
317.0, 0.4649, 
316.0, 0.4886, 
315.0, 0.5133, 
314.0, 0.5393, 
313.0, 0.5657, 
312.0, 0.5935, 
311.0, 0.6234, 
310.0, 0.6551, 
309.0, 0.6893, 
308.0, 0.7259, 
307.0, 0.7645, 
306.0, 0.8066, 
305.0, 0.8475, 
304.0, 0.8882, 
303.0, 0.9294, 
302.0, 0.9684, 
301.0, 1.0073, 
300.0, 1.0467, 
299.0, 1.0876, 
298.0, 1.1251, 
297.0, 1.1625, 
296.0, 1.2023, 
295.0, 1.2416, 
294.0, 1.2772, 
293.0, 1.3070, 
292.0, 1.3315, 
291.0, 1.3550, 
290.0, 1.3761, 
289.0, 1.3847, 
288.0, 1.3817, 
287.0, 1.3750, 
286.0, 1.3683, 
285.0, 1.3590, 
284.0, 1.3523, 
283.0, 1.3428, 
282.0, 1.3395, 
281.0, 1.3404, 
280.0, 1.3388, 
279.0, 1.3382, 
278.0, 1.3346, 
277.0, 1.3255, 
276.0, 1.3100, 
275.0, 1.2950, 
274.0, 1.2846, 
273.0, 1.2765, 
272.0, 1.2774, 
271.0, 1.2766, 
270.0, 1.2698, 
269.0, 1.2615, 
268.0, 1.2542, 
267.0, 1.2532, 
266.0, 1.2605, 
265.0, 1.2720, 
264.0, 1.2884, 
263.0, 1.3054, 
262.0, 1.3220, 
261.0, 1.3425, 
260.0, 1.3641, 
259.0, 1.3932, 
258.0, 1.4251, 
257.0, 1.4604, 
256.0, 1.4853, 
255.0, 1.5140, 
254.0, 1.5496, 
253.0, 1.5886, 
252.0, 1.6162, 
251.0, 1.6620, 
250.0, 1.6965 
