Created as New Dataset, , 
nm, A, 
430.0, 0.0832, 
429.0, 0.0833, 
428.0, 0.0830, 
427.0, 0.0819, 
426.0, 0.0809, 
425.0, 0.0821, 
424.0, 0.0807, 
423.0, 0.0805, 
422.0, 0.0811, 
421.0, 0.0807, 
420.0, 0.0815, 
419.0, 0.0804, 
418.0, 0.0806, 
417.0, 0.0812, 
416.0, 0.0813, 
415.0, 0.0821, 
414.0, 0.0827, 
413.0, 0.0831, 
412.0, 0.0844, 
411.0, 0.0854, 
410.0, 0.0857, 
409.0, 0.0874, 
408.0, 0.0883, 
407.0, 0.0907, 
406.0, 0.0917, 
405.0, 0.0953, 
404.0, 0.0980, 
403.0, 0.1022, 
402.0, 0.1066, 
401.0, 0.1119, 
400.0, 0.1178, 
399.0, 0.1236, 
398.0, 0.1299, 
397.0, 0.1367, 
396.0, 0.1461, 
395.0, 0.1553, 
394.0, 0.1654, 
393.0, 0.1768, 
392.0, 0.1885, 
391.0, 0.2015, 
390.0, 0.2176, 
389.0, 0.2331, 
388.0, 0.2498, 
387.0, 0.2691, 
386.0, 0.2918, 
385.0, 0.3157, 
384.0, 0.3433, 
383.0, 0.3746, 
382.0, 0.4088, 
381.0, 0.4486, 
380.0, 0.4954, 
379.0, 0.5471, 
378.0, 0.6003, 
377.0, 0.6553, 
376.0, 0.7039, 
375.0, 0.7297, 
374.0, 0.7332, 
373.0, 0.7156, 
372.0, 0.6761, 
371.0, 0.6230, 
370.0, 0.5636, 
369.0, 0.5051, 
368.0, 0.4559, 
367.0, 0.4196, 
366.0, 0.3971, 
365.0, 0.3876, 
364.0, 0.3894, 
363.0, 0.3971, 
362.0, 0.4108, 
361.0, 0.4274, 
360.0, 0.4457, 
359.0, 0.4640, 
358.0, 0.4816, 
357.0, 0.4962, 
356.0, 0.5088, 
355.0, 0.5181, 
354.0, 0.5200, 
353.0, 0.5161, 
352.0, 0.5039, 
351.0, 0.4861, 
350.0, 0.4642, 
349.0, 0.4409, 
348.0, 0.4172, 
347.0, 0.3938, 
346.0, 0.3722, 
345.0, 0.3529, 
344.0, 0.3366, 
343.0, 0.3231, 
342.0, 0.3112, 
341.0, 0.3016, 
340.0, 0.2945, 
339.0, 0.2893, 
338.0, 0.2859, 
337.0, 0.2842, 
336.0, 0.2847, 
335.0, 0.2864, 
334.0, 0.2890, 
333.0, 0.2927, 
332.0, 0.2968, 
331.0, 0.3019, 
330.0, 0.3068, 
329.0, 0.3135, 
328.0, 0.3210, 
327.0, 0.3270, 
326.0, 0.3318, 
325.0, 0.3374, 
324.0, 0.3429, 
323.0, 0.3488, 
322.0, 0.3567, 
321.0, 0.3645, 
320.0, 0.3729, 
319.0, 0.3834, 
318.0, 0.3982, 
317.0, 0.4140, 
316.0, 0.4330, 
315.0, 0.4530, 
314.0, 0.4754, 
313.0, 0.5005, 
312.0, 0.5269, 
311.0, 0.5552, 
310.0, 0.5853, 
309.0, 0.6181, 
308.0, 0.6511, 
307.0, 0.6855, 
306.0, 0.7208, 
305.0, 0.7547, 
304.0, 0.7859, 
303.0, 0.8149, 
302.0, 0.8456, 
301.0, 0.8762, 
300.0, 0.9054, 
299.0, 0.9362, 
298.0, 0.9689, 
297.0, 1.0035, 
296.0, 1.0406, 
295.0, 1.0833, 
294.0, 1.1281, 
293.0, 1.1723, 
292.0, 1.2155, 
291.0, 1.2585, 
290.0, 1.2934, 
289.0, 1.3190, 
288.0, 1.3387, 
287.0, 1.3509, 
286.0, 1.3553, 
285.0, 1.3529, 
284.0, 1.3478, 
283.0, 1.3401, 
282.0, 1.3270, 
281.0, 1.3202, 
280.0, 1.3157, 
279.0, 1.3150, 
278.0, 1.3126, 
277.0, 1.3070, 
276.0, 1.2936, 
275.0, 1.2722, 
274.0, 1.2488, 
273.0, 1.2345, 
272.0, 1.2267, 
271.0, 1.2208, 
270.0, 1.2184, 
269.0, 1.2082, 
268.0, 1.1985, 
267.0, 1.1926, 
266.0, 1.1949, 
265.0, 1.2045, 
264.0, 1.2155, 
263.0, 1.2277, 
262.0, 1.2429, 
261.0, 1.2628, 
260.0, 1.2789, 
259.0, 1.2986, 
258.0, 1.3187, 
257.0, 1.3411, 
256.0, 1.3648, 
255.0, 1.3864, 
254.0, 1.4097, 
253.0, 1.4295, 
252.0, 1.4564, 
251.0, 1.4814, 
250.0, 1.5113 
