Created as New Dataset, , 
nm, A, 
430.0, 0.1006, 
429.0, 0.1015, 
428.0, 0.1019, 
427.0, 0.1014, 
426.0, 0.0999, 
425.0, 0.1005, 
424.0, 0.0992, 
423.0, 0.0999, 
422.0, 0.0992, 
421.0, 0.0990, 
420.0, 0.0994, 
419.0, 0.1000, 
418.0, 0.1008, 
417.0, 0.1002, 
416.0, 0.1007, 
415.0, 0.1014, 
414.0, 0.1013, 
413.0, 0.1018, 
412.0, 0.1026, 
411.0, 0.1035, 
410.0, 0.1039, 
409.0, 0.1056, 
408.0, 0.1070, 
407.0, 0.1092, 
406.0, 0.1111, 
405.0, 0.1145, 
404.0, 0.1174, 
403.0, 0.1217, 
402.0, 0.1260, 
401.0, 0.1314, 
400.0, 0.1377, 
399.0, 0.1454, 
398.0, 0.1531, 
397.0, 0.1619, 
396.0, 0.1721, 
395.0, 0.1835, 
394.0, 0.1963, 
393.0, 0.2102, 
392.0, 0.2250, 
391.0, 0.2416, 
390.0, 0.2613, 
389.0, 0.2802, 
388.0, 0.3036, 
387.0, 0.3285, 
386.0, 0.3562, 
385.0, 0.3876, 
384.0, 0.4219, 
383.0, 0.4598, 
382.0, 0.5028, 
381.0, 0.5508, 
380.0, 0.6032, 
379.0, 0.6579, 
378.0, 0.7111, 
377.0, 0.7619, 
376.0, 0.8044, 
375.0, 0.8135, 
374.0, 0.7966, 
373.0, 0.7606, 
372.0, 0.7087, 
371.0, 0.6469, 
370.0, 0.5846, 
369.0, 0.5310, 
368.0, 0.4892, 
367.0, 0.4608, 
366.0, 0.4453, 
365.0, 0.4414, 
364.0, 0.4461, 
363.0, 0.4570, 
362.0, 0.4722, 
361.0, 0.4899, 
360.0, 0.5102, 
359.0, 0.5318, 
358.0, 0.5536, 
357.0, 0.5713, 
356.0, 0.5853, 
355.0, 0.5919, 
354.0, 0.5896, 
353.0, 0.5784, 
352.0, 0.5588, 
351.0, 0.5333, 
350.0, 0.5052, 
349.0, 0.4768, 
348.0, 0.4491, 
347.0, 0.4236, 
346.0, 0.4009, 
345.0, 0.3815, 
344.0, 0.3662, 
343.0, 0.3526, 
342.0, 0.3420, 
341.0, 0.3333, 
340.0, 0.3255, 
339.0, 0.3198, 
338.0, 0.3164, 
337.0, 0.3145, 
336.0, 0.3132, 
335.0, 0.3129, 
334.0, 0.3136, 
333.0, 0.3140, 
332.0, 0.3157, 
331.0, 0.3197, 
330.0, 0.3239, 
329.0, 0.3283, 
328.0, 0.3334, 
327.0, 0.3385, 
326.0, 0.3440, 
325.0, 0.3500, 
324.0, 0.3559, 
323.0, 0.3639, 
322.0, 0.3737, 
321.0, 0.3840, 
320.0, 0.3966, 
319.0, 0.4118, 
318.0, 0.4316, 
317.0, 0.4512, 
316.0, 0.4734, 
315.0, 0.4980, 
314.0, 0.5253, 
313.0, 0.5550, 
312.0, 0.5867, 
311.0, 0.6207, 
310.0, 0.6569, 
309.0, 0.6947, 
308.0, 0.7328, 
307.0, 0.7730, 
306.0, 0.8147, 
305.0, 0.8538, 
304.0, 0.8925, 
303.0, 0.9302, 
302.0, 0.9670, 
301.0, 1.0042, 
300.0, 1.0412, 
299.0, 1.0801, 
298.0, 1.1194, 
297.0, 1.1604, 
296.0, 1.2028, 
295.0, 1.2418, 
294.0, 1.2789, 
293.0, 1.3141, 
292.0, 1.3416, 
291.0, 1.3635, 
290.0, 1.3758, 
289.0, 1.3826, 
288.0, 1.3826, 
287.0, 1.3756, 
286.0, 1.3680, 
285.0, 1.3623, 
284.0, 1.3521, 
283.0, 1.3425, 
282.0, 1.3332, 
281.0, 1.3278, 
280.0, 1.3287, 
279.0, 1.3258, 
278.0, 1.3224, 
277.0, 1.3116, 
276.0, 1.2950, 
275.0, 1.2746, 
274.0, 1.2559, 
273.0, 1.2422, 
272.0, 1.2353, 
271.0, 1.2321, 
270.0, 1.2271, 
269.0, 1.2180, 
268.0, 1.2102, 
267.0, 1.2069, 
266.0, 1.2079, 
265.0, 1.2162, 
264.0, 1.2319, 
263.0, 1.2496, 
262.0, 1.2673, 
261.0, 1.2889, 
260.0, 1.3111, 
259.0, 1.3358, 
258.0, 1.3642, 
257.0, 1.3925, 
256.0, 1.4304, 
255.0, 1.4553, 
254.0, 1.4860, 
253.0, 1.5336, 
252.0, 1.5589, 
251.0, 1.5901, 
250.0, 1.5986 
