Created as New Dataset, , 
nm, A, 
430.0, 0.0953, 
429.0, 0.0950, 
428.0, 0.0950, 
427.0, 0.0948, 
426.0, 0.0942, 
425.0, 0.0951, 
424.0, 0.0945, 
423.0, 0.0948, 
422.0, 0.0942, 
421.0, 0.0935, 
420.0, 0.0931, 
419.0, 0.0942, 
418.0, 0.0938, 
417.0, 0.0960, 
416.0, 0.0955, 
415.0, 0.0960, 
414.0, 0.0954, 
413.0, 0.0956, 
412.0, 0.0964, 
411.0, 0.0974, 
410.0, 0.0973, 
409.0, 0.0984, 
408.0, 0.0997, 
407.0, 0.1013, 
406.0, 0.1036, 
405.0, 0.1078, 
404.0, 0.1104, 
403.0, 0.1143, 
402.0, 0.1192, 
401.0, 0.1252, 
400.0, 0.1302, 
399.0, 0.1372, 
398.0, 0.1451, 
397.0, 0.1546, 
396.0, 0.1640, 
395.0, 0.1743, 
394.0, 0.1872, 
393.0, 0.1999, 
392.0, 0.2131, 
391.0, 0.2291, 
390.0, 0.2486, 
389.0, 0.2688, 
388.0, 0.2903, 
387.0, 0.3134, 
386.0, 0.3400, 
385.0, 0.3699, 
384.0, 0.4041, 
383.0, 0.4418, 
382.0, 0.4824, 
381.0, 0.5277, 
380.0, 0.5788, 
379.0, 0.6310, 
378.0, 0.6853, 
377.0, 0.7381, 
376.0, 0.7830, 
375.0, 0.8036, 
374.0, 0.7987, 
373.0, 0.7724, 
372.0, 0.7273, 
371.0, 0.6692, 
370.0, 0.6075, 
369.0, 0.5509, 
368.0, 0.5049, 
367.0, 0.4719, 
366.0, 0.4509, 
365.0, 0.4419, 
364.0, 0.4423, 
363.0, 0.4486, 
362.0, 0.4598, 
361.0, 0.4745, 
360.0, 0.4914, 
359.0, 0.5112, 
358.0, 0.5312, 
357.0, 0.5496, 
356.0, 0.5654, 
355.0, 0.5778, 
354.0, 0.5823, 
353.0, 0.5778, 
352.0, 0.5638, 
351.0, 0.5435, 
350.0, 0.5187, 
349.0, 0.4916, 
348.0, 0.4658, 
347.0, 0.4417, 
346.0, 0.4188, 
345.0, 0.3994, 
344.0, 0.3826, 
343.0, 0.3676, 
342.0, 0.3561, 
341.0, 0.3456, 
340.0, 0.3356, 
339.0, 0.3284, 
338.0, 0.3243, 
337.0, 0.3202, 
336.0, 0.3174, 
335.0, 0.3168, 
334.0, 0.3171, 
333.0, 0.3185, 
332.0, 0.3206, 
331.0, 0.3232, 
330.0, 0.3263, 
329.0, 0.3303, 
328.0, 0.3348, 
327.0, 0.3395, 
326.0, 0.3445, 
325.0, 0.3504, 
324.0, 0.3572, 
323.0, 0.3669, 
322.0, 0.3760, 
321.0, 0.3849, 
320.0, 0.3980, 
319.0, 0.4130, 
318.0, 0.4323, 
317.0, 0.4521, 
316.0, 0.4747, 
315.0, 0.4988, 
314.0, 0.5264, 
313.0, 0.5560, 
312.0, 0.5871, 
311.0, 0.6203, 
310.0, 0.6566, 
309.0, 0.6944, 
308.0, 0.7327, 
307.0, 0.7730, 
306.0, 0.8131, 
305.0, 0.8518, 
304.0, 0.8929, 
303.0, 0.9328, 
302.0, 0.9703, 
301.0, 1.0084, 
300.0, 1.0468, 
299.0, 1.0845, 
298.0, 1.1218, 
297.0, 1.1627, 
296.0, 1.2022, 
295.0, 1.2409, 
294.0, 1.2793, 
293.0, 1.3146, 
292.0, 1.3469, 
291.0, 1.3664, 
290.0, 1.3757, 
289.0, 1.3838, 
288.0, 1.3855, 
287.0, 1.3814, 
286.0, 1.3741, 
285.0, 1.3632, 
284.0, 1.3551, 
283.0, 1.3460, 
282.0, 1.3394, 
281.0, 1.3355, 
280.0, 1.3315, 
279.0, 1.3336, 
278.0, 1.3300, 
277.0, 1.3176, 
276.0, 1.3000, 
275.0, 1.2805, 
274.0, 1.2609, 
273.0, 1.2510, 
272.0, 1.2436, 
271.0, 1.2404, 
270.0, 1.2366, 
269.0, 1.2297, 
268.0, 1.2226, 
267.0, 1.2194, 
266.0, 1.2219, 
265.0, 1.2282, 
264.0, 1.2418, 
263.0, 1.2585, 
262.0, 1.2786, 
261.0, 1.2961, 
260.0, 1.3183, 
259.0, 1.3441, 
258.0, 1.3766, 
257.0, 1.4077, 
256.0, 1.4372, 
255.0, 1.4689, 
254.0, 1.4992, 
253.0, 1.5361, 
252.0, 1.5672, 
251.0, 1.5939, 
250.0, 1.6269 
