Created as New Dataset, , 
nm, A, 
430.0, 0.0886, 
429.0, 0.0895, 
428.0, 0.0886, 
427.0, 0.0879, 
426.0, 0.0870, 
425.0, 0.0872, 
424.0, 0.0872, 
423.0, 0.0870, 
422.0, 0.0865, 
421.0, 0.0857, 
420.0, 0.0867, 
419.0, 0.0868, 
418.0, 0.0870, 
417.0, 0.0865, 
416.0, 0.0863, 
415.0, 0.0864, 
414.0, 0.0862, 
413.0, 0.0865, 
412.0, 0.0886, 
411.0, 0.0900, 
410.0, 0.0892, 
409.0, 0.0910, 
408.0, 0.0921, 
407.0, 0.0951, 
406.0, 0.0971, 
405.0, 0.1007, 
404.0, 0.1028, 
403.0, 0.1062, 
402.0, 0.1104, 
401.0, 0.1163, 
400.0, 0.1220, 
399.0, 0.1290, 
398.0, 0.1369, 
397.0, 0.1445, 
396.0, 0.1532, 
395.0, 0.1631, 
394.0, 0.1733, 
393.0, 0.1857, 
392.0, 0.1988, 
391.0, 0.2140, 
390.0, 0.2312, 
389.0, 0.2489, 
388.0, 0.2674, 
387.0, 0.2883, 
386.0, 0.3131, 
385.0, 0.3403, 
384.0, 0.3703, 
383.0, 0.4050, 
382.0, 0.4435, 
381.0, 0.4883, 
380.0, 0.5393, 
379.0, 0.5949, 
378.0, 0.6532, 
377.0, 0.7125, 
376.0, 0.7628, 
375.0, 0.7847, 
374.0, 0.7807, 
373.0, 0.7522, 
372.0, 0.7031, 
371.0, 0.6402, 
370.0, 0.5722, 
369.0, 0.5110, 
368.0, 0.4619, 
367.0, 0.4280, 
366.0, 0.4095, 
365.0, 0.4042, 
364.0, 0.4086, 
363.0, 0.4203, 
362.0, 0.4385, 
361.0, 0.4582, 
360.0, 0.4791, 
359.0, 0.5013, 
358.0, 0.5229, 
357.0, 0.5401, 
356.0, 0.5533, 
355.0, 0.5607, 
354.0, 0.5580, 
353.0, 0.5490, 
352.0, 0.5302, 
351.0, 0.5060, 
350.0, 0.4780, 
349.0, 0.4503, 
348.0, 0.4224, 
347.0, 0.3960, 
346.0, 0.3722, 
345.0, 0.3518, 
344.0, 0.3352, 
343.0, 0.3213, 
342.0, 0.3100, 
341.0, 0.3017, 
340.0, 0.2940, 
339.0, 0.2894, 
338.0, 0.2876, 
337.0, 0.2870, 
336.0, 0.2874, 
335.0, 0.2886, 
334.0, 0.2916, 
333.0, 0.2955, 
332.0, 0.2994, 
331.0, 0.3038, 
330.0, 0.3092, 
329.0, 0.3144, 
328.0, 0.3198, 
327.0, 0.3251, 
326.0, 0.3311, 
325.0, 0.3386, 
324.0, 0.3445, 
323.0, 0.3504, 
322.0, 0.3585, 
321.0, 0.3670, 
320.0, 0.3774, 
319.0, 0.3901, 
318.0, 0.4064, 
317.0, 0.4239, 
316.0, 0.4441, 
315.0, 0.4663, 
314.0, 0.4906, 
313.0, 0.5174, 
312.0, 0.5465, 
311.0, 0.5768, 
310.0, 0.6091, 
309.0, 0.6435, 
308.0, 0.6805, 
307.0, 0.7176, 
306.0, 0.7558, 
305.0, 0.7934, 
304.0, 0.8283, 
303.0, 0.8618, 
302.0, 0.8943, 
301.0, 0.9269, 
300.0, 0.9585, 
299.0, 0.9915, 
298.0, 1.0277, 
297.0, 1.0675, 
296.0, 1.1082, 
295.0, 1.1502, 
294.0, 1.1931, 
293.0, 1.2343, 
292.0, 1.2753, 
291.0, 1.3129, 
290.0, 1.3440, 
289.0, 1.3686, 
288.0, 1.3814, 
287.0, 1.3804, 
286.0, 1.3774, 
285.0, 1.3735, 
284.0, 1.3625, 
283.0, 1.3508, 
282.0, 1.3413, 
281.0, 1.3340, 
280.0, 1.3312, 
279.0, 1.3333, 
278.0, 1.3358, 
277.0, 1.3256, 
276.0, 1.3066, 
275.0, 1.2822, 
274.0, 1.2622, 
273.0, 1.2453, 
272.0, 1.2318, 
271.0, 1.2228, 
270.0, 1.2144, 
269.0, 1.2055, 
268.0, 1.1954, 
267.0, 1.1915, 
266.0, 1.1942, 
265.0, 1.2031, 
264.0, 1.2147, 
263.0, 1.2315, 
262.0, 1.2481, 
261.0, 1.2647, 
260.0, 1.2858, 
259.0, 1.3092, 
258.0, 1.3328, 
257.0, 1.3564, 
256.0, 1.3874, 
255.0, 1.4168, 
254.0, 1.4431, 
253.0, 1.4741, 
252.0, 1.5053, 
251.0, 1.5246, 
250.0, 1.5466 
