Created as New Dataset, , 
nm, A, 
430.0, 0.0880, 
429.0, 0.0901, 
428.0, 0.0892, 
427.0, 0.0887, 
426.0, 0.0877, 
425.0, 0.0885, 
424.0, 0.0890, 
423.0, 0.0890, 
422.0, 0.0877, 
421.0, 0.0870, 
420.0, 0.0877, 
419.0, 0.0870, 
418.0, 0.0876, 
417.0, 0.0879, 
416.0, 0.0874, 
415.0, 0.0870, 
414.0, 0.0875, 
413.0, 0.0890, 
412.0, 0.0896, 
411.0, 0.0895, 
410.0, 0.0910, 
409.0, 0.0928, 
408.0, 0.0926, 
407.0, 0.0953, 
406.0, 0.0981, 
405.0, 0.1018, 
404.0, 0.1037, 
403.0, 0.1081, 
402.0, 0.1131, 
401.0, 0.1187, 
400.0, 0.1239, 
399.0, 0.1309, 
398.0, 0.1379, 
397.0, 0.1453, 
396.0, 0.1548, 
395.0, 0.1664, 
394.0, 0.1784, 
393.0, 0.1916, 
392.0, 0.2059, 
391.0, 0.2217, 
390.0, 0.2404, 
389.0, 0.2605, 
388.0, 0.2825, 
387.0, 0.3062, 
386.0, 0.3315, 
385.0, 0.3617, 
384.0, 0.3944, 
383.0, 0.4321, 
382.0, 0.4741, 
381.0, 0.5218, 
380.0, 0.5764, 
379.0, 0.6330, 
378.0, 0.6919, 
377.0, 0.7520, 
376.0, 0.7941, 
375.0, 0.8067, 
374.0, 0.7942, 
373.0, 0.7560, 
372.0, 0.7028, 
371.0, 0.6369, 
370.0, 0.5692, 
369.0, 0.5098, 
368.0, 0.4639, 
367.0, 0.4332, 
366.0, 0.4171, 
365.0, 0.4156, 
364.0, 0.4230, 
363.0, 0.4366, 
362.0, 0.4561, 
361.0, 0.4784, 
360.0, 0.5010, 
359.0, 0.5242, 
358.0, 0.5477, 
357.0, 0.5665, 
356.0, 0.5789, 
355.0, 0.5844, 
354.0, 0.5801, 
353.0, 0.5661, 
352.0, 0.5425, 
351.0, 0.5125, 
350.0, 0.4818, 
349.0, 0.4520, 
348.0, 0.4226, 
347.0, 0.3960, 
346.0, 0.3726, 
345.0, 0.3520, 
344.0, 0.3350, 
343.0, 0.3220, 
342.0, 0.3125, 
341.0, 0.3036, 
340.0, 0.2964, 
339.0, 0.2915, 
338.0, 0.2890, 
337.0, 0.2878, 
336.0, 0.2886, 
335.0, 0.2900, 
334.0, 0.2932, 
333.0, 0.2951, 
332.0, 0.2971, 
331.0, 0.3004, 
330.0, 0.3052, 
329.0, 0.3104, 
328.0, 0.3157, 
327.0, 0.3214, 
326.0, 0.3281, 
325.0, 0.3353, 
324.0, 0.3408, 
323.0, 0.3477, 
322.0, 0.3568, 
321.0, 0.3670, 
320.0, 0.3783, 
319.0, 0.3916, 
318.0, 0.4098, 
317.0, 0.4276, 
316.0, 0.4496, 
315.0, 0.4735, 
314.0, 0.5005, 
313.0, 0.5309, 
312.0, 0.5633, 
311.0, 0.5945, 
310.0, 0.6263, 
309.0, 0.6637, 
308.0, 0.7024, 
307.0, 0.7421, 
306.0, 0.7841, 
305.0, 0.8242, 
304.0, 0.8620, 
303.0, 0.8986, 
302.0, 0.9332, 
301.0, 0.9679, 
300.0, 1.0036, 
299.0, 1.0404, 
298.0, 1.0773, 
297.0, 1.1166, 
296.0, 1.1592, 
295.0, 1.1931, 
294.0, 1.2035, 
293.0, 1.2304, 
292.0, 1.2823, 
291.0, 1.3301, 
290.0, 1.3563, 
289.0, 1.3752, 
288.0, 1.3844, 
287.0, 1.3789, 
286.0, 1.3715, 
285.0, 1.3649, 
284.0, 1.3573, 
283.0, 1.3393, 
282.0, 1.3323, 
281.0, 1.3277, 
280.0, 1.3232, 
279.0, 1.3238, 
278.0, 1.3234, 
277.0, 1.3136, 
276.0, 1.2926, 
275.0, 1.2679, 
274.0, 1.2480, 
273.0, 1.2322, 
272.0, 1.2176, 
271.0, 1.2128, 
270.0, 1.2072, 
269.0, 1.1982, 
268.0, 1.1895, 
267.0, 1.1829, 
266.0, 1.1923, 
265.0, 1.2179, 
264.0, 1.2456, 
263.0, 1.2453, 
262.0, 1.2469, 
261.0, 1.2611, 
260.0, 1.2794, 
259.0, 1.3038, 
258.0, 1.3346, 
257.0, 1.3644, 
256.0, 1.3937, 
255.0, 1.4264, 
254.0, 1.4624, 
253.0, 1.4855, 
252.0, 1.5160, 
251.0, 1.5456, 
250.0, 1.5773 
