Created as New Dataset, , 
nm, A, 
430.0, 0.0858, 
429.0, 0.0864, 
428.0, 0.0866, 
427.0, 0.0860, 
426.0, 0.0853, 
425.0, 0.0861, 
424.0, 0.0850, 
423.0, 0.0848, 
422.0, 0.0856, 
421.0, 0.0848, 
420.0, 0.0858, 
419.0, 0.0848, 
418.0, 0.0847, 
417.0, 0.0849, 
416.0, 0.0853, 
415.0, 0.0854, 
414.0, 0.0864, 
413.0, 0.0871, 
412.0, 0.0873, 
411.0, 0.0880, 
410.0, 0.0880, 
409.0, 0.0905, 
408.0, 0.0920, 
407.0, 0.0937, 
406.0, 0.0949, 
405.0, 0.0991, 
404.0, 0.1022, 
403.0, 0.1060, 
402.0, 0.1103, 
401.0, 0.1160, 
400.0, 0.1211, 
399.0, 0.1283, 
398.0, 0.1347, 
397.0, 0.1418, 
396.0, 0.1506, 
395.0, 0.1619, 
394.0, 0.1724, 
393.0, 0.1839, 
392.0, 0.1964, 
391.0, 0.2103, 
390.0, 0.2269, 
389.0, 0.2438, 
388.0, 0.2616, 
387.0, 0.2820, 
386.0, 0.3052, 
385.0, 0.3305, 
384.0, 0.3599, 
383.0, 0.3938, 
382.0, 0.4308, 
381.0, 0.4734, 
380.0, 0.5232, 
379.0, 0.5778, 
378.0, 0.6339, 
377.0, 0.6898, 
376.0, 0.7408, 
375.0, 0.7661, 
374.0, 0.7644, 
373.0, 0.7406, 
372.0, 0.6955, 
371.0, 0.6352, 
370.0, 0.5698, 
369.0, 0.5089, 
368.0, 0.4591, 
367.0, 0.4245, 
366.0, 0.4054, 
365.0, 0.3986, 
364.0, 0.4027, 
363.0, 0.4129, 
362.0, 0.4288, 
361.0, 0.4479, 
360.0, 0.4683, 
359.0, 0.4899, 
358.0, 0.5100, 
357.0, 0.5256, 
356.0, 0.5383, 
355.0, 0.5466, 
354.0, 0.5458, 
353.0, 0.5382, 
352.0, 0.5225, 
351.0, 0.5004, 
350.0, 0.4753, 
349.0, 0.4480, 
348.0, 0.4212, 
347.0, 0.3962, 
346.0, 0.3727, 
345.0, 0.3524, 
344.0, 0.3365, 
343.0, 0.3228, 
342.0, 0.3129, 
341.0, 0.3046, 
340.0, 0.2973, 
339.0, 0.2928, 
338.0, 0.2914, 
337.0, 0.2903, 
336.0, 0.2906, 
335.0, 0.2929, 
334.0, 0.2961, 
333.0, 0.2991, 
332.0, 0.3035, 
331.0, 0.3087, 
330.0, 0.3142, 
329.0, 0.3197, 
328.0, 0.3256, 
327.0, 0.3321, 
326.0, 0.3370, 
325.0, 0.3430, 
324.0, 0.3488, 
323.0, 0.3551, 
322.0, 0.3623, 
321.0, 0.3702, 
320.0, 0.3795, 
319.0, 0.3916, 
318.0, 0.4089, 
317.0, 0.4258, 
316.0, 0.4449, 
315.0, 0.4660, 
314.0, 0.4899, 
313.0, 0.5163, 
312.0, 0.5438, 
311.0, 0.5737, 
310.0, 0.6066, 
309.0, 0.6410, 
308.0, 0.6747, 
307.0, 0.7093, 
306.0, 0.7463, 
305.0, 0.7816, 
304.0, 0.8143, 
303.0, 0.8470, 
302.0, 0.8789, 
301.0, 0.9105, 
300.0, 0.9421, 
299.0, 0.9746, 
298.0, 1.0089, 
297.0, 1.0466, 
296.0, 1.0854, 
295.0, 1.1263, 
294.0, 1.1713, 
293.0, 1.2152, 
292.0, 1.2575, 
291.0, 1.2961, 
290.0, 1.3320, 
289.0, 1.3565, 
288.0, 1.3682, 
287.0, 1.3768, 
286.0, 1.3770, 
285.0, 1.3698, 
284.0, 1.3605, 
283.0, 1.3489, 
282.0, 1.3390, 
281.0, 1.3340, 
280.0, 1.3334, 
279.0, 1.3333, 
278.0, 1.3291, 
277.0, 1.3218, 
276.0, 1.3092, 
275.0, 1.2881, 
274.0, 1.2652, 
273.0, 1.2482, 
272.0, 1.2386, 
271.0, 1.2297, 
270.0, 1.2212, 
269.0, 1.2132, 
268.0, 1.2025, 
267.0, 1.1990, 
266.0, 1.2006, 
265.0, 1.2100, 
264.0, 1.2204, 
263.0, 1.2340, 
262.0, 1.2490, 
261.0, 1.2664, 
260.0, 1.2795, 
259.0, 1.3048, 
258.0, 1.3280, 
257.0, 1.3504, 
256.0, 1.3805, 
255.0, 1.4093, 
254.0, 1.4351, 
253.0, 1.4564, 
252.0, 1.4888, 
251.0, 1.5145, 
250.0, 1.5415 
