Created as New Dataset, , 
nm, A, 
430.0, 0.1016, 
429.0, 0.1030, 
428.0, 0.1014, 
427.0, 0.1006, 
426.0, 0.1010, 
425.0, 0.1018, 
424.0, 0.1007, 
423.0, 0.1008, 
422.0, 0.1007, 
421.0, 0.0997, 
420.0, 0.1004, 
419.0, 0.1000, 
418.0, 0.1009, 
417.0, 0.0999, 
416.0, 0.1008, 
415.0, 0.1008, 
414.0, 0.1003, 
413.0, 0.1013, 
412.0, 0.1026, 
411.0, 0.1039, 
410.0, 0.1052, 
409.0, 0.1062, 
408.0, 0.1071, 
407.0, 0.1097, 
406.0, 0.1110, 
405.0, 0.1155, 
404.0, 0.1188, 
403.0, 0.1233, 
402.0, 0.1278, 
401.0, 0.1338, 
400.0, 0.1392, 
399.0, 0.1464, 
398.0, 0.1540, 
397.0, 0.1627, 
396.0, 0.1728, 
395.0, 0.1840, 
394.0, 0.1963, 
393.0, 0.2104, 
392.0, 0.2253, 
391.0, 0.2427, 
390.0, 0.2620, 
389.0, 0.2809, 
388.0, 0.3042, 
387.0, 0.3296, 
386.0, 0.3577, 
385.0, 0.3886, 
384.0, 0.4246, 
383.0, 0.4636, 
382.0, 0.5058, 
381.0, 0.5538, 
380.0, 0.6057, 
379.0, 0.6608, 
378.0, 0.7139, 
377.0, 0.7638, 
376.0, 0.8035, 
375.0, 0.8112, 
374.0, 0.7950, 
373.0, 0.7594, 
372.0, 0.7050, 
371.0, 0.6428, 
370.0, 0.5821, 
369.0, 0.5277, 
368.0, 0.4861, 
367.0, 0.4592, 
366.0, 0.4448, 
365.0, 0.4416, 
364.0, 0.4471, 
363.0, 0.4587, 
362.0, 0.4731, 
361.0, 0.4916, 
360.0, 0.5137, 
359.0, 0.5360, 
358.0, 0.5573, 
357.0, 0.5748, 
356.0, 0.5880, 
355.0, 0.5945, 
354.0, 0.5916, 
353.0, 0.5793, 
352.0, 0.5580, 
351.0, 0.5329, 
350.0, 0.5036, 
349.0, 0.4744, 
348.0, 0.4480, 
347.0, 0.4233, 
346.0, 0.4011, 
345.0, 0.3821, 
344.0, 0.3658, 
343.0, 0.3518, 
342.0, 0.3414, 
341.0, 0.3324, 
340.0, 0.3241, 
339.0, 0.3193, 
338.0, 0.3162, 
337.0, 0.3139, 
336.0, 0.3136, 
335.0, 0.3144, 
334.0, 0.3149, 
333.0, 0.3159, 
332.0, 0.3172, 
331.0, 0.3202, 
330.0, 0.3245, 
329.0, 0.3284, 
328.0, 0.3343, 
327.0, 0.3395, 
326.0, 0.3446, 
325.0, 0.3516, 
324.0, 0.3579, 
323.0, 0.3656, 
322.0, 0.3736, 
321.0, 0.3831, 
320.0, 0.3969, 
319.0, 0.4126, 
318.0, 0.4324, 
317.0, 0.4518, 
316.0, 0.4740, 
315.0, 0.4992, 
314.0, 0.5268, 
313.0, 0.5558, 
312.0, 0.5867, 
311.0, 0.6206, 
310.0, 0.6562, 
309.0, 0.6940, 
308.0, 0.7341, 
307.0, 0.7743, 
306.0, 0.8161, 
305.0, 0.8570, 
304.0, 0.8943, 
303.0, 0.9315, 
302.0, 0.9694, 
301.0, 1.0071, 
300.0, 1.0442, 
299.0, 1.0815, 
298.0, 1.1218, 
297.0, 1.1634, 
296.0, 1.2034, 
295.0, 1.2433, 
294.0, 1.2802, 
293.0, 1.3137, 
292.0, 1.3443, 
291.0, 1.3708, 
290.0, 1.3835, 
289.0, 1.3875, 
288.0, 1.3882, 
287.0, 1.3822, 
286.0, 1.3747, 
285.0, 1.3642, 
284.0, 1.3565, 
283.0, 1.3437, 
282.0, 1.3332, 
281.0, 1.3307, 
280.0, 1.3291, 
279.0, 1.3297, 
278.0, 1.3262, 
277.0, 1.3154, 
276.0, 1.2996, 
275.0, 1.2778, 
274.0, 1.2594, 
273.0, 1.2444, 
272.0, 1.2338, 
271.0, 1.2294, 
270.0, 1.2268, 
269.0, 1.2180, 
268.0, 1.2109, 
267.0, 1.2078, 
266.0, 1.2128, 
265.0, 1.2202, 
264.0, 1.2333, 
263.0, 1.2516, 
262.0, 1.2698, 
261.0, 1.2881, 
260.0, 1.3100, 
259.0, 1.3378, 
258.0, 1.3664, 
257.0, 1.3916, 
256.0, 1.4253, 
255.0, 1.4546, 
254.0, 1.4839, 
253.0, 1.5199, 
252.0, 1.5423, 
251.0, 1.5791, 
250.0, 1.6122 
