Created as New Dataset, , 
nm, A, 
430.0, 0.0810, 
429.0, 0.0813, 
428.0, 0.0808, 
427.0, 0.0804, 
426.0, 0.0799, 
425.0, 0.0807, 
424.0, 0.0799, 
423.0, 0.0806, 
422.0, 0.0802, 
421.0, 0.0785, 
420.0, 0.0793, 
419.0, 0.0795, 
418.0, 0.0799, 
417.0, 0.0793, 
416.0, 0.0795, 
415.0, 0.0801, 
414.0, 0.0814, 
413.0, 0.0816, 
412.0, 0.0826, 
411.0, 0.0836, 
410.0, 0.0843, 
409.0, 0.0847, 
408.0, 0.0864, 
407.0, 0.0889, 
406.0, 0.0907, 
405.0, 0.0937, 
404.0, 0.0969, 
403.0, 0.1007, 
402.0, 0.1050, 
401.0, 0.1110, 
400.0, 0.1156, 
399.0, 0.1222, 
398.0, 0.1290, 
397.0, 0.1350, 
396.0, 0.1430, 
395.0, 0.1525, 
394.0, 0.1621, 
393.0, 0.1735, 
392.0, 0.1857, 
391.0, 0.1989, 
390.0, 0.2131, 
389.0, 0.2283, 
388.0, 0.2454, 
387.0, 0.2639, 
386.0, 0.2852, 
385.0, 0.3090, 
384.0, 0.3354, 
383.0, 0.3661, 
382.0, 0.4009, 
381.0, 0.4406, 
380.0, 0.4869, 
379.0, 0.5368, 
378.0, 0.5889, 
377.0, 0.6426, 
376.0, 0.6909, 
375.0, 0.7183, 
374.0, 0.7236, 
373.0, 0.7075, 
372.0, 0.6708, 
371.0, 0.6191, 
370.0, 0.5584, 
369.0, 0.5014, 
368.0, 0.4526, 
367.0, 0.4164, 
366.0, 0.3933, 
365.0, 0.3833, 
364.0, 0.3837, 
363.0, 0.3902, 
362.0, 0.4032, 
361.0, 0.4185, 
360.0, 0.4359, 
359.0, 0.4548, 
358.0, 0.4715, 
357.0, 0.4857, 
356.0, 0.4972, 
355.0, 0.5070, 
354.0, 0.5098, 
353.0, 0.5066, 
352.0, 0.4963, 
351.0, 0.4801, 
350.0, 0.4596, 
349.0, 0.4375, 
348.0, 0.4149, 
347.0, 0.3924, 
346.0, 0.3703, 
345.0, 0.3505, 
344.0, 0.3348, 
343.0, 0.3214, 
342.0, 0.3099, 
341.0, 0.3005, 
340.0, 0.2927, 
339.0, 0.2879, 
338.0, 0.2846, 
337.0, 0.2822, 
336.0, 0.2816, 
335.0, 0.2832, 
334.0, 0.2858, 
333.0, 0.2890, 
332.0, 0.2930, 
331.0, 0.2986, 
330.0, 0.3055, 
329.0, 0.3115, 
328.0, 0.3174, 
327.0, 0.3231, 
326.0, 0.3293, 
325.0, 0.3352, 
324.0, 0.3399, 
323.0, 0.3461, 
322.0, 0.3538, 
321.0, 0.3613, 
320.0, 0.3701, 
319.0, 0.3816, 
318.0, 0.3965, 
317.0, 0.4114, 
316.0, 0.4293, 
315.0, 0.4497, 
314.0, 0.4722, 
313.0, 0.4966, 
312.0, 0.5231, 
311.0, 0.5513, 
310.0, 0.5808, 
309.0, 0.6116, 
308.0, 0.6431, 
307.0, 0.6763, 
306.0, 0.7108, 
305.0, 0.7439, 
304.0, 0.7753, 
303.0, 0.8057, 
302.0, 0.8364, 
301.0, 0.8662, 
300.0, 0.8955, 
299.0, 0.9261, 
298.0, 0.9567, 
297.0, 0.9915, 
296.0, 1.0319, 
295.0, 1.0734, 
294.0, 1.1143, 
293.0, 1.1551, 
292.0, 1.2016, 
291.0, 1.2468, 
290.0, 1.2836, 
289.0, 1.3123, 
288.0, 1.3330, 
287.0, 1.3460, 
286.0, 1.3490, 
285.0, 1.3438, 
284.0, 1.3425, 
283.0, 1.3335, 
282.0, 1.3211, 
281.0, 1.3109, 
280.0, 1.3100, 
279.0, 1.3086, 
278.0, 1.3052, 
277.0, 1.3014, 
276.0, 1.2881, 
275.0, 1.2658, 
274.0, 1.2455, 
273.0, 1.2309, 
272.0, 1.2217, 
271.0, 1.2174, 
270.0, 1.2146, 
269.0, 1.2058, 
268.0, 1.1987, 
267.0, 1.1950, 
266.0, 1.1976, 
265.0, 1.2048, 
264.0, 1.2149, 
263.0, 1.2314, 
262.0, 1.2428, 
261.0, 1.2582, 
260.0, 1.2753, 
259.0, 1.2945, 
258.0, 1.3132, 
257.0, 1.3353, 
256.0, 1.3556, 
255.0, 1.3813, 
254.0, 1.4051, 
253.0, 1.4251, 
252.0, 1.4500, 
251.0, 1.4712, 
250.0, 1.5032 
