Created as New Dataset, , 
nm, A, 
430.0, 0.0838, 
429.0, 0.0839, 
428.0, 0.0843, 
427.0, 0.0843, 
426.0, 0.0832, 
425.0, 0.0837, 
424.0, 0.0833, 
423.0, 0.0825, 
422.0, 0.0823, 
421.0, 0.0805, 
420.0, 0.0817, 
419.0, 0.0818, 
418.0, 0.0808, 
417.0, 0.0809, 
416.0, 0.0823, 
415.0, 0.0820, 
414.0, 0.0820, 
413.0, 0.0828, 
412.0, 0.0828, 
411.0, 0.0834, 
410.0, 0.0831, 
409.0, 0.0842, 
408.0, 0.0847, 
407.0, 0.0866, 
406.0, 0.0891, 
405.0, 0.0920, 
404.0, 0.0952, 
403.0, 0.0985, 
402.0, 0.1028, 
401.0, 0.1081, 
400.0, 0.1142, 
399.0, 0.1206, 
398.0, 0.1272, 
397.0, 0.1354, 
396.0, 0.1445, 
395.0, 0.1547, 
394.0, 0.1662, 
393.0, 0.1784, 
392.0, 0.1907, 
391.0, 0.2054, 
390.0, 0.2231, 
389.0, 0.2409, 
388.0, 0.2606, 
387.0, 0.2830, 
386.0, 0.3071, 
385.0, 0.3343, 
384.0, 0.3662, 
383.0, 0.3997, 
382.0, 0.4364, 
381.0, 0.4776, 
380.0, 0.5232, 
379.0, 0.5724, 
378.0, 0.6232, 
377.0, 0.6770, 
376.0, 0.7286, 
375.0, 0.7637, 
374.0, 0.7793, 
373.0, 0.7763, 
372.0, 0.7546, 
371.0, 0.7172, 
370.0, 0.6691, 
369.0, 0.6180, 
368.0, 0.5699, 
367.0, 0.5297, 
366.0, 0.4975, 
365.0, 0.4747, 
364.0, 0.4601, 
363.0, 0.4513, 
362.0, 0.4482, 
361.0, 0.4486, 
360.0, 0.4530, 
359.0, 0.4612, 
358.0, 0.4735, 
357.0, 0.4874, 
356.0, 0.5049, 
355.0, 0.5245, 
354.0, 0.5398, 
353.0, 0.5514, 
352.0, 0.5553, 
351.0, 0.5525, 
350.0, 0.5445, 
349.0, 0.5318, 
348.0, 0.5160, 
347.0, 0.4982, 
346.0, 0.4810, 
345.0, 0.4646, 
344.0, 0.4478, 
343.0, 0.4314, 
342.0, 0.4167, 
341.0, 0.4031, 
340.0, 0.3895, 
339.0, 0.3783, 
338.0, 0.3686, 
337.0, 0.3603, 
336.0, 0.3545, 
335.0, 0.3500, 
334.0, 0.3462, 
333.0, 0.3443, 
332.0, 0.3435, 
331.0, 0.3432, 
330.0, 0.3446, 
329.0, 0.3473, 
328.0, 0.3506, 
327.0, 0.3531, 
326.0, 0.3573, 
325.0, 0.3634, 
324.0, 0.3675, 
323.0, 0.3747, 
322.0, 0.3842, 
321.0, 0.3946, 
320.0, 0.4071, 
319.0, 0.4228, 
318.0, 0.4444, 
317.0, 0.4659, 
316.0, 0.4890, 
315.0, 0.5136, 
314.0, 0.5404, 
313.0, 0.5676, 
312.0, 0.5965, 
311.0, 0.6281, 
310.0, 0.6613, 
309.0, 0.6960, 
308.0, 0.7319, 
307.0, 0.7714, 
306.0, 0.8126, 
305.0, 0.8525, 
304.0, 0.8934, 
303.0, 0.9333, 
302.0, 0.9719, 
301.0, 1.0109, 
300.0, 1.0496, 
299.0, 1.0870, 
298.0, 1.1250, 
297.0, 1.1613, 
296.0, 1.1981, 
295.0, 1.2368, 
294.0, 1.2768, 
293.0, 1.3094, 
292.0, 1.3350, 
291.0, 1.3547, 
290.0, 1.3706, 
289.0, 1.3810, 
288.0, 1.3801, 
287.0, 1.3718, 
286.0, 1.3681, 
285.0, 1.3614, 
284.0, 1.3492, 
283.0, 1.3385, 
282.0, 1.3349, 
281.0, 1.3339, 
280.0, 1.3353, 
279.0, 1.3351, 
278.0, 1.3332, 
277.0, 1.3269, 
276.0, 1.3111, 
275.0, 1.2934, 
274.0, 1.2783, 
273.0, 1.2713, 
272.0, 1.2703, 
271.0, 1.2674, 
270.0, 1.2652, 
269.0, 1.2579, 
268.0, 1.2493, 
267.0, 1.2474, 
266.0, 1.2549, 
265.0, 1.2643, 
264.0, 1.2710, 
263.0, 1.2867, 
262.0, 1.3098, 
261.0, 1.3315, 
260.0, 1.3578, 
259.0, 1.3876, 
258.0, 1.4165, 
257.0, 1.4450, 
256.0, 1.4831, 
255.0, 1.5126, 
254.0, 1.5421, 
253.0, 1.5781, 
252.0, 1.6099, 
251.0, 1.6446, 
250.0, 1.6786 
