Created as New Dataset, , 
nm, A, 
430.0, 0.0922, 
429.0, 0.0924, 
428.0, 0.0930, 
427.0, 0.0929, 
426.0, 0.0910, 
425.0, 0.0911, 
424.0, 0.0914, 
423.0, 0.0912, 
422.0, 0.0906, 
421.0, 0.0899, 
420.0, 0.0908, 
419.0, 0.0904, 
418.0, 0.0900, 
417.0, 0.0921, 
416.0, 0.0915, 
415.0, 0.0909, 
414.0, 0.0924, 
413.0, 0.0928, 
412.0, 0.0933, 
411.0, 0.0939, 
410.0, 0.0937, 
409.0, 0.0953, 
408.0, 0.0973, 
407.0, 0.0988, 
406.0, 0.1007, 
405.0, 0.1047, 
404.0, 0.1069, 
403.0, 0.1117, 
402.0, 0.1146, 
401.0, 0.1209, 
400.0, 0.1268, 
399.0, 0.1342, 
398.0, 0.1423, 
397.0, 0.1500, 
396.0, 0.1590, 
395.0, 0.1701, 
394.0, 0.1823, 
393.0, 0.1951, 
392.0, 0.2101, 
391.0, 0.2264, 
390.0, 0.2447, 
389.0, 0.2646, 
388.0, 0.2857, 
387.0, 0.3102, 
386.0, 0.3366, 
385.0, 0.3667, 
384.0, 0.4005, 
383.0, 0.4378, 
382.0, 0.4800, 
381.0, 0.5293, 
380.0, 0.5837, 
379.0, 0.6408, 
378.0, 0.6987, 
377.0, 0.7548, 
376.0, 0.8008, 
375.0, 0.8153, 
374.0, 0.8016, 
373.0, 0.7649, 
372.0, 0.7091, 
371.0, 0.6418, 
370.0, 0.5751, 
369.0, 0.5164, 
368.0, 0.4702, 
367.0, 0.4397, 
366.0, 0.4239, 
365.0, 0.4215, 
364.0, 0.4289, 
363.0, 0.4432, 
362.0, 0.4626, 
361.0, 0.4844, 
360.0, 0.5075, 
359.0, 0.5312, 
358.0, 0.5541, 
357.0, 0.5722, 
356.0, 0.5848, 
355.0, 0.5910, 
354.0, 0.5871, 
353.0, 0.5729, 
352.0, 0.5492, 
351.0, 0.5198, 
350.0, 0.4885, 
349.0, 0.4562, 
348.0, 0.4263, 
347.0, 0.3994, 
346.0, 0.3757, 
345.0, 0.3553, 
344.0, 0.3394, 
343.0, 0.3268, 
342.0, 0.3168, 
341.0, 0.3086, 
340.0, 0.3011, 
339.0, 0.2958, 
338.0, 0.2936, 
337.0, 0.2916, 
336.0, 0.2926, 
335.0, 0.2942, 
334.0, 0.2955, 
333.0, 0.2984, 
332.0, 0.3019, 
331.0, 0.3055, 
330.0, 0.3102, 
329.0, 0.3148, 
328.0, 0.3199, 
327.0, 0.3264, 
326.0, 0.3326, 
325.0, 0.3396, 
324.0, 0.3461, 
323.0, 0.3520, 
322.0, 0.3604, 
321.0, 0.3717, 
320.0, 0.3836, 
319.0, 0.3970, 
318.0, 0.4145, 
317.0, 0.4336, 
316.0, 0.4571, 
315.0, 0.4811, 
314.0, 0.5062, 
313.0, 0.5347, 
312.0, 0.5668, 
311.0, 0.6007, 
310.0, 0.6354, 
309.0, 0.6722, 
308.0, 0.7102, 
307.0, 0.7505, 
306.0, 0.7918, 
305.0, 0.8313, 
304.0, 0.8700, 
303.0, 0.9067, 
302.0, 0.9408, 
301.0, 0.9781, 
300.0, 1.0152, 
299.0, 1.0521, 
298.0, 1.0909, 
297.0, 1.1302, 
296.0, 1.1688, 
295.0, 1.2112, 
294.0, 1.2543, 
293.0, 1.2907, 
292.0, 1.3256, 
291.0, 1.3559, 
290.0, 1.3780, 
289.0, 1.3900, 
288.0, 1.3910, 
287.0, 1.3882, 
286.0, 1.3806, 
285.0, 1.3705, 
284.0, 1.3576, 
283.0, 1.3446, 
282.0, 1.3380, 
281.0, 1.3345, 
280.0, 1.3337, 
279.0, 1.3298, 
278.0, 1.3282, 
277.0, 1.3178, 
276.0, 1.2976, 
275.0, 1.2747, 
274.0, 1.2522, 
273.0, 1.2352, 
272.0, 1.2207, 
271.0, 1.2147, 
270.0, 1.2111, 
269.0, 1.2025, 
268.0, 1.1980, 
267.0, 1.1924, 
266.0, 1.1966, 
265.0, 1.2036, 
264.0, 1.2117, 
263.0, 1.2295, 
262.0, 1.2508, 
261.0, 1.2697, 
260.0, 1.2870, 
259.0, 1.3175, 
258.0, 1.3716, 
257.0, 1.3605, 
256.0, 1.3820, 
255.0, 1.4329, 
254.0, 1.4688, 
253.0, 1.4922, 
252.0, 1.5135, 
251.0, 1.5560, 
250.0, 1.5924 
